g1,g2,n1,n2,eps,feasible,chi,d1_i,d1_j,d1_ij,eps_add,SL,panel,origin
b3626,b2482,waaJ,hyfB,1.0,True,2.2647682340615205e-14,4.6382442318813606e-14,2.863199319461465e-14,4.6382442318813606e-14,0.0,False,B,panel
b3626,b2482,waaJ,hyfB,0.5,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,B,panel
b3626,b2482,waaJ,hyfB,0.25,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,B,panel
b3626,b2482,waaJ,hyfB,0.125,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,B,panel
b3626,b2482,waaJ,hyfB,0.0625,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,B,panel
b3626,b2482,waaJ,hyfB,0.03125,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,B,panel
b3630,b2146,waaP,preT,1.0,True,2.2647682340615205e-14,4.6382442318813606e-14,2.863199319461465e-14,4.6382442318813606e-14,0.0,False,B,panel
b3630,b2146,waaP,preT,0.5,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,B,panel
b3630,b2146,waaP,preT,0.25,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,B,panel
b3630,b2146,waaP,preT,0.125,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,B,panel
b3630,b2146,waaP,preT,0.0625,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,B,panel
b3630,b2146,waaP,preT,0.03125,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,B,panel
b1779,b3731,gapA,atpC,1.0,True,269.5840423629438,202.40768494294784,272.9656969818416,631.1046736826802,2482.470393488864,False,A,panel
b1779,b3731,gapA,atpC,0.5,True,41.18676336224243,101.0827084617248,129.721954850527,229.44840012089233,2482.470393488864,False,A,panel
b1779,b3731,gapA,atpC,0.25,True,20.59540468571799,50.48541802979729,64.86074477132381,114.61454253615501,2482.470393488864,False,A,panel
b1779,b3731,gapA,atpC,0.125,True,10.29972534745577,25.18677281383347,32.43013973172044,57.25526156414187,2482.470393488864,False,A,panel
b1779,b3731,gapA,atpC,0.0625,True,5.151885902431635,12.537450205851293,16.214837211918624,28.575621078135786,2482.470393488864,False,A,panel
b1779,b3731,gapA,atpC,0.03125,True,2.579097694994518,6.212788901860861,8.107185952017195,14.23580083513231,2482.470393488864,False,A,panel
b0126,b3748,|can|,rbsD,1.0,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,B,panel
b0126,b3748,|can|,rbsD,0.5,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,B,panel
b0126,b3748,|can|,rbsD,0.25,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,B,panel
b0126,b3748,|can|,rbsD,0.125,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,B,panel
b0126,b3748,|can|,rbsD,0.0625,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,B,panel
b0126,b3748,|can|,rbsD,0.03125,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,B,panel
b3732,b2280,atpD,nuoJ,1.0,True,226.48252944535557,272.9656969818416,124.81676294043336,272.9656969818418,-3240.7517372117595,False,A,panel
b3732,b2280,atpD,nuoJ,0.5,True,114.02842911006421,129.721954850527,62.40825267498162,129.7219548505272,-3240.7517372117595,False,A,panel
b3732,b2280,atpD,nuoJ,0.25,True,57.02233348198496,64.86074477132381,31.204061801320098,64.8607447713239,-3240.7517372117595,False,A,panel
b3732,b2280,atpD,nuoJ,0.125,True,28.529093662799653,32.43013973172044,15.601971051303533,32.43013973172986,-3240.7517372117595,False,A,panel
b3732,b2280,atpD,nuoJ,0.0625,True,14.261924604515226,16.214837211918624,7.800948157224807,16.21483721192078,-3240.7517372117595,False,A,panel
b3732,b2280,atpD,nuoJ,0.03125,True,7.135713474336573,8.107185952017195,3.9004587324490148,8.107185952018536,-3240.7517372117595,False,A,panel
b3752,b3915,rbsK,fieF,1.0,True,3.2742431969413953e-13,1.1879047550310273e-13,1.0766176679516176e-13,2.936705469663739e-13,0.0,False,B,panel
b3752,b3915,rbsK,fieF,0.5,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,B,panel
b3752,b3915,rbsK,fieF,0.25,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,B,panel
b3752,b3915,rbsK,fieF,0.125,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,B,panel
b3752,b3915,rbsK,fieF,0.0625,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,B,panel
b3752,b3915,rbsK,fieF,0.03125,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,B,panel
b1856,b2328,mepM,mepA,1.0,True,1.4135638189485822e-14,2.863199319461465e-14,1.2872109308437581e-11,1.2881464048727275e-11,0.0,False,ISO,panel
b1856,b2328,mepM,mepA,0.5,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,ISO,panel
b1856,b2328,mepM,mepA,0.25,True,0.0,2.863199319461465e-14,2.863199319461465e-14,2.863199319461465e-14,0.0,False,ISO,panel
