gene_bnumber,TB0_declared,TB1_fresh_seed_same_family,TB2_lognormal_family,TB3_absflux_rule,TB4_adversarial_max
b2987,0.40329631188719395,0.40329631188459203,0.403296311890315,0.40329631186938464,0.4032963119103252
b0078,0.3655174499481374,0.3655174499481374,0.3655174499481374,0.3655174499481374,0.36551744994806823
b0077,0.3655174499481374,0.3655174499481374,0.3655174499481374,0.3655174499481374,0.36551744994806823
b3774,0.3655174499481374,0.3655174499481374,0.3655174499481374,0.3655174499481374,0.36551744994806823
b3671,0.3655174499481374,0.3655174499481374,0.3655174499481374,0.3655174499481374,0.36551744994806823
b3670,0.3655174499481374,0.3655174499481374,0.3655174499481374,0.3655174499481374,0.36551744994806823
b3771,0.3655174499481374,0.3655174499481374,0.3655174499481374,0.3655174499481374,0.36551744994819646
b0474,1.097454030740503,1.097453737897748,1.0974540303680353,1.0974540307363312,1.0974689157960154
b2518,0.33054698833061824,0.3305472730614285,0.33054698790018877,0.3305472730580261,0.33056283630671857
b1676,0.0,0.0,0.0,0.0,0.0
b1854,0.0,0.0,0.0,0.0,0.0
b0323,0.26196569066349445,0.26196569066349445,0.26196569066351116,0.26196569066349445,0.2619656906635209
b0521,0.26196569066349445,0.26196569066349445,0.26196569066351116,0.26196569066349445,0.2619656906635209
b2874,0.26196569066349445,0.26196569066349445,0.26196569066351116,0.26196569066349445,0.2619656906635209
b4069,0.0,0.0,0.0,0.0,0.0
b0004,0.2275277340738442,0.2275277340738442,0.2275277340738442,0.2275277340738442,0.2275277340738442
b0003,0.2275277340738442,0.2275277340738442,0.2275277340738442,0.2275277340738442,0.2275277340738442
b4006,0.2269160779115882,0.2269160779123327,0.22691607791017998,0.2269160779080397,0.22691607791908075
b0126,0.21984712196834444,0.21984712196906175,0.2198471219668554,0.21984712196470657,0.2198471219758102
b0339,0.21984712196834444,0.21984712196906175,0.2198471219668554,0.21984712196470657,0.2198471219758102
b0071,0.18835958068125114,0.18835958068125114,0.18835958068125114,0.18835958068125114,0.18835958068125114
b0072,0.18835958068125114,0.18835958068125114,0.18835958068125114,0.18835958068125114,0.18835958068125114
b0074,0.18835958068125114,0.18835958068125114,0.18835958068125114,0.18835958068125114,0.18835958068125114
b4054,0.18835958068125114,0.18835958068125114,0.18835958068125114,0.18835958068125114,0.18835958068125114
b3770,0.18835958068125114,0.18835958068125114,0.18835958068125114,0.18835958068125114,0.18835958068125114
b0073,0.18835958068125114,0.18835958068125114,0.18835958068125114,0.18835958068125114,0.18835958068125114
b4005,0.18740091520899904,0.18740091520957725,0.18740091520732738,0.1874009152052007,0.1874009152163152
b2312,0.18740091520899904,0.18740091520957725,0.18740091520732738,0.1874009152052007,0.1874009152163152
b2499,0.18740091520897145,0.1874009152095512,0.18740091520734875,0.18740091520517427,0.18740091521631908
b2557,0.18740091520897145,0.1874009152095512,0.18740091520734875,0.18740091520517427,0.18740091521631908
b2476,0.18730768258682468,0.18730768258740288,0.1873076825851981,0.1873076825830205,0.18730768259416997
b1131,0.18730768258679553,0.18730768258737374,0.18730768258518798,0.1873076825829929,0.18730768259416491
b0523,0.18730768258682468,0.18730768258740288,0.1873076825851981,0.1873076825830205,0.18730768259416997
b0522,0.18730768258682468,0.18730768258740288,0.1873076825851981,0.1873076825830205,0.18730768259416997
b2500,0.1863753563650406,0.18637535636547659,0.1863753563633569,0.18637535636111596,0.18650028375065314
b3572,0.0,0.0,0.0,0.0,0.0
b1704,0.15933956826425116,0.15933956826425116,0.15933956826426593,0.15933956826425116,0.15933956826425116
b0754,0.15933956826425116,0.15933956826425116,0.15933956826426593,0.15933956826425116,0.15933956826425116
b2601,0.15933956826425116,0.15933956826425116,0.15933956826426593,0.15933956826425116,0.15933956826425116
b1693,0.15933956826425116,0.15933956826425116,0.15933956826426593,0.15933956826425116,0.15933956826425116
b3389,0.15933956826425116,0.15933956826425116,0.15933956826426593,0.15933956826425116,0.15933956826425116
b3281,0.15933956826425116,0.15933956826425116,0.15933956826426593,0.15933956826425116,0.15933956826425116
b0908,0.15933956826425116,0.15933956826425116,0.15933956826426593,0.15933956826425116,0.15933956826425116
b2329,0.15933956826425855,0.15933956826425855,0.15933956826426593,0.15933956826425855,0.15933956826425855
b3390,0.15933956826425116,0.15933956826425116,0.15933956826426593,0.15933956826425116,0.15933956826425116
b0388,0.15933956826425116,0.15933956826425116,0.15933956826426593,0.15933956826425116,0.15933956826425116
b1692,0.15933956826425116,0.15933956826425116,0.15933956826426593,0.15933956826425116,0.15933956826425116
b0171,0.15805187106138613,0.15805187106138613,0.15805187106139973,0.15805187106138613,0.15805187106140323
b0910,0.15805187106138613,0.15805187106138613,0.15805187106139973,0.15805187106138613,0.15805187106140323
b2472,0.15508765899378996,0.15508765899378996,0.15508765899378996,0.15508765899378996,0.15508765899378996
b3359,0.15508765899378996,0.15508765899378996,0.15508765899378996,0.15508765899378996,0.15508765899378996
b3809,0.15508765899378996,0.15508765899378996,0.15508765899378996,0.15508765899378996,0.15508765899378996
b0031,0.15508765899378996,0.15508765899378996,0.15508765899378996,0.15508765899378996,0.15508765899378996
b0166,0.15508765899378996,0.15508765899378996,0.15508765899378996,0.15508765899378996,0.15508765899378996
b2478,0.15508765899378996,0.15508765899378996,0.15508765899378996,0.15508765899378996,0.15508765899378996
b0221,0.14878755862047988,0.14878755862047988,0.14878755862047988,0.14878755862047988,0.14878755862047988
b3846,0.14878755862047988,0.14878755862047988,0.14878755862047988,0.14878755862047988,0.14878755862047988
b2341,0.14878755862047988,0.14878755862047988,0.14878755862047988,0.14878755862047988,0.14878755862047988
b2342,0.14878755862047988,0.14878755862047988,0.14878755862047988,0.14878755862047988,0.14878755862047988
b3845,0.14878755862047988,0.14878755862047988,0.14878755862047988,0.14878755862047988,0.14878755862047988
