gene_bnumber,kappa_mu,kappa_vg_all,kappa_vg_int,kappa_dual,kappa_c,kappa_v_lex,n_rxns,kappa_V_E22
b2465,0.17296962306803465,0.17296962306803465,0.0,0.0,0.0,0.24423257553788003,2,0.2442325755378905
b2464,0.0,0.0,0.0,0.0,0.0,0.0,1,0.2442325755378905
b2935,0.17296962306803465,0.17296962306803465,0.0,0.0,0.0,0.24423257553788003,2,0.2442325755378905
b0008,0.0,0.0,0.0,0.0,0.0,0.0,1,0.2442325755378905
b2551,0.1554546666190355,0.1554546666190355,0.0,0.002073826921526245,0.0,0.19727472141452687,6,0.1972747214145404
b3433,0.1489876812463975,0.1489876812463975,0.0,0.0,0.0,0.18120268704332307,1,0.1812026870433115
b0002,0.1489876812463975,0.1489876812463975,0.0,0.0,0.0,0.18120268704332307,2,0.1812026870433114
b4024,0.1489876812463975,0.1489876812463975,0.0,0.0,0.0,0.18120268704332307,1,0.1812026870433114
b3940,0.1489876812463975,0.1489876812463975,0.0,0.0,0.0,0.18120268704332307,2,0.1812026870433114
b2290,0.08101845183942047,0.08101845183942047,0.0,0.0,0.0,0.05358358806813731,1,0.1599789787217618
b2379,0.08101845183942047,0.08101845183942047,0.0,0.0,0.0,0.05358358806813731,1,0.1599789787217618
b0529,0.13779488894770275,0.13779488894770275,0.0,0.0,0.0,0.1549994401620369,2,0.1549994401620578
b3493,0.13443210393707616,0.13443210393707616,0.0,0.0,0.0,0.14752645362112088,1,0.1475264536211723
b2987,0.13443210393707616,0.13443210393707616,0.0,0.0,0.0,0.14752645362112088,1,0.1475264536211723
b0078,0.12183914997213485,0.12183914997213485,0.0,0.0,0.0,0.12118186502598706,2,0.1211818650259794
b0077,0.12183914997213485,0.12183914997213485,0.0,0.0,0.0,0.12118186502598706,2,0.1211818650259794
b3774,0.12183914997213485,0.12183914997213485,0.0,0.0,0.0,0.12118186502598706,3,0.1211818650259794
b3671,0.12183914997213485,0.12183914997213485,0.0,0.0,0.0,0.12118186502598706,2,0.1211818650259794
b3670,0.12183914997213485,0.12183914997213485,0.0,0.0,0.0,0.12118186502598706,2,0.1211818650259794
b3771,0.12183914997213485,0.12183914997213485,0.0,0.0,0.0,0.12118186502598706,2,0.1211818650259794
b0474,0.36581800892322036,0.36581800892322036,0.0,0.0,0.0,1.0924311477459387,13,0.0991034010905592
b2518,0.11018232810931416,0.11018232810931416,0.0,0.0,0.0,0.09910322793624476,8,0.0991034010905592
b1676,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0763285398807885
b1854,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0763285398807885
b0323,0.08732189688023906,0.08732189688023906,0.0,0.0,0.0,0.06224582591539034,1,0.0622458259153863
b0521,0.08732189688023906,0.08732189688023906,0.0,0.0,0.0,0.06224582591539034,1,0.0622458259153863
b2874,0.08732189688023906,0.08732189688023906,0.0,0.0,0.0,0.06224582591539034,1,0.0622458259153863
b4069,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0538087188670391
b0004,0.07584257801801642,0.07584257801801642,0.0,2.7755575615628914e-17,0.0,0.046955890941410824,2,0.0469558909414078
b0003,0.07584257801801642,0.07584257801801642,0.0,0.0,0.0,0.046955890941410824,1,0.0469558909414077
b4006,0.07563869262747669,0.07563869262747669,0.0,0.0,0.0,0.04670376997808035,2,0.0467037699780858
b0126,0.07328237397986503,0.07328237397986503,0.0,0.0,0.0,0.043839235396335476,1,0.0438392353963408
b0339,0.07328237397986503,0.07328237397986503,0.0,0.0,0.0,0.043839235396335476,1,0.0438392353963408
