gene,kappa_mu,kappa_vg_all,kappa_vg_int,kappa_dual_int,kappa_dual_all,kappa_c,kappa_v_lex,n_rxns
b3290,0.06912491054422865,0.06912491054422865,0.06912491054422865,0.0,0.0,0.0,0.004178076812725147,1
b3849,0.06912491054422865,0.06912491054422865,0.06912491054422865,0.0,0.0,0.0,0.004178076812725147,1
b1291,0.06912491054422865,0.06912491054422865,0.06912491054422865,0.0,0.0,0.0,0.004178076812725147,1
b1363,0.06912491054422865,0.06912491054422865,0.06912491054422865,0.0,0.0,0.0,0.004178076812725147,1
b1250,0.06912491054422865,0.06912491054422865,0.06912491054422865,0.0,0.0,0.0,0.004178076812725147,1
b3747,0.06912491054422865,0.06912491054422865,0.06912491054422865,0.0,0.0,0.0,0.004178076812725147,1
b2780,0.0568477161840476,0.0568477161840476,0.0568477161840476,0.0,0.0,0.0,0.0028257471570796574,1
b4019,0.05466411227193846,0.05466411227193846,0.05466411227193846,0.0,0.0,0.0,0.0026128342174263357,1
b3941,0.05466411227193846,0.05466411227193846,0.05466411227193846,0.0,0.0,0.0,0.0026128342174263357,1
b3829,0.05466411227193846,0.05466411227193846,0.05466411227193846,0.0,0.0,0.0,0.0026128342174263357,1
b3939,0.05450545924686212,0.05450545924686212,0.05450545924686212,0.0,0.0,0.0,0.0025976896379528084,1
b1622,0.05450545924686212,0.05450545924686212,0.05450545924686212,0.0,0.0,0.0,0.0025976896379528084,1
b3008,0.05450545924686212,0.05450545924686212,0.05450545924686212,0.018376073553694423,0.018376073553694423,0.0,0.0025976896379528084,2
b4013,0.05450545924686212,0.05450545924686212,0.05450545924686212,0.0,0.0,0.0,0.0025976896379528084,1
b0452,0.053272002804134466,0.053272002804134466,0.053272002804134466,0.019688807722321462,0.019688807722321462,0.0,0.0024814487213452594,10
b1094,0.053272002804134466,0.053272002804134466,0.053272002804134466,0.03317472444761975,0.03317472444761975,0.0,0.0024814487213452594,26
b2836,0.053272002804134466,0.053272002804134466,0.053272002804134466,0.028228420632812046,0.028228420632812046,0.0,0.0024814487213452594,23
b3608,0.049234849933876834,0.049234849933876834,0.049234849933876834,0.0,0.0,0.0,0.002119593078250166,1
b2895,0.0385140842460418,0.0385140842460418,0.0385140842460418,0.006826073395990118,0.006826073395990118,0.0,0.0012970192076279783,7
b1378,0.0385140842460418,0.0385140842460418,0.0385140842460418,0.0,0.0,0.0,0.0012970192076279783,1
b0684,0.0385140842460418,0.0385140842460418,0.0385140842460418,0.006826073395990118,0.006826073395990118,0.0,0.0012970192076279783,7
b2026,0.03355015689670798,0.03355015689670798,0.03355015689670798,0.0,0.0,0.0,0.0009842294742123355,2
b2023,0.03355015689670798,0.03355015689670798,0.03355015689670798,0.0,0.0,0.0,0.0009842294742123355,1
b2025,0.03355015689670798,0.03355015689670798,0.03355015689670798,0.0,0.0,0.0,0.0009842294742123355,1
b2021,0.03355015689670798,0.03355015689670798,0.03355015689670798,0.0,0.0,0.0,0.0009842294742123355,1
b2024,0.03355015689670798,0.03355015689670798,0.03355015689670798,0.0,0.0,0.0,0.0009842294742123355,1
b2020,0.03355015689670798,0.03355015689670798,0.03355015689670798,0.0,0.0,0.0,0.0009842294742123355,1
b2022,0.03355015689670798,0.03355015689670798,0.03355015689670798,0.0,0.0,0.0,0.0009842294742123355,2
b2019,0.03355015689670798,0.03355015689670798,0.03355015689670798,0.0,0.0,0.0,0.0009842294742123355,1
b3176,0.0334616228425359,0.0334616228425359,0.0334616228425359,0.0,0.0,0.0,0.00097904184699848,1
b3729,0.0334616228425359,0.0334616228425359,0.0334616228425359,0.0,0.0,0.0,0.00097904184699848,1
b3730,0.0334616228425359,0.0334616228425359,0.0334616228425359,0.0,0.0,0.0,0.00097904184699848,2
b0185,0.027562421744925625,0.027562421744925625,0.027562421744925625,0.0,0.0,0.0,0.0006642659680554271,1
b2316,0.027562421744925625,0.027562421744925625,0.027562421744925625,0.0,0.0,0.0,0.0006642659680554271,1
