gene_bnumber,kappa_mu_max,kappa_mu_sum,kappa_mu_own,kappa_v_lex,n_rxns,kappa_V_E22
b2287,12.666167133342014,12.666167133342014,12.666167133342014,145.51636264094648,3,145.5163626409395
b2288,12.666167133342014,12.666167133342014,12.666167133342014,145.51636264094648,3,145.5163626409395
b2284,12.666167133342014,12.666167133342014,12.666167133342014,145.51636264094648,3,145.5163626409395
b2282,12.666167133342014,12.666167133342014,12.666167133342014,145.51636264094648,3,145.5163626409395
b2280,12.666167133342014,12.666167133342014,12.666167133342014,145.51636264094648,3,145.5163626409395
b1779,6.792253676059778,6.792346908681933,6.792253676059778,41.8455419496423,2,41.845541949642005
b2926,6.792253676059778,6.792253676059778,6.792253676059778,41.8455419496423,1,41.845541949642005
b2779,6.07391409105014,6.07391409105014,6.07391409105014,33.46252370443936,1,33.46252370443901
b0755,6.07391409105014,6.07391409105014,6.07391409105014,33.46252370443936,1,33.46252370443899
b3612,6.07391409105014,6.07391409105014,6.07391409105014,33.46252370443936,1,33.46252370443899
b4395,6.07391409105014,6.07391409105014,6.07391409105014,33.46252370443936,1,33.46252370443899
b0451,4.515646380952978,4.515646380952978,4.515646380952978,18.495294543148106,1,18.495294543147853
b2417,4.200000000000731,4.200000000000731,4.200000000000731,16.0,6,16.0
b1101,4.200000000000731,4.200000000000731,4.200000000000731,16.0,2,16.0
b2415,4.200000000000731,4.490090012517866,4.200000000000731,16.0,18,16.0
b2416,4.200000000000731,4.490090012517866,4.200000000000731,16.0,19,16.0
b1819,4.200000000000731,4.200000000000731,4.200000000000731,16.0,5,16.0
b1817,4.200000000000731,4.200000000000731,4.200000000000731,16.0,5,16.0
b1621,4.200000000000731,4.200000000000731,4.200000000000731,16.0,2,16.0
b1818,4.200000000000731,4.200000000000731,4.200000000000731,16.0,5,16.0
b1761,3.5753278660324277,3.5753278660324277,3.5753278660324277,11.594530020086834,1,11.594530020086626
b0116,3.2575133575983983,4.764163852049696,3.2575133575983983,9.624846505736594,3,9.624846505736867
b0115,3.2575133575983983,3.2575133575983983,3.2575133575983983,9.624846505736594,1,9.624846505736867
b0114,3.2575133575983983,3.2575133575983983,3.2575133575983983,9.624846505736594,1,9.624846505736867
b3916,2.425638849772171,2.9445477190571605,2.425638849772171,5.336710954837904,3,9.490141723290314
b1723,2.425638849772171,2.425638849772171,2.425638849772171,5.336710954837904,1,9.490141723290314
b1773,2.425638849772171,2.425638849772171,2.425638849772171,5.336710954837904,1,9.490141723290312
b2925,2.425638849772171,2.9445477190571605,2.425638849772171,5.336710954837904,2,9.490141723290312
b2097,2.425638849772171,2.425638849772171,2.425638849772171,5.336710954837904,1,9.490141723290312
b3919,3.1755600228078364,3.1755600228078364,3.1755600228078364,9.146649848721097,1,9.146649848720998
b4025,2.395756668023422,2.395756668023422,2.395756668023422,5.206031756235614,1,5.20603175623541
b0720,1.933341296071478,1.933341296071478,1.933341296071478,3.3903025516869434,1,3.390302551686155
b0118,1.933341296071478,3.866682592142956,1.933341296071478,3.3903025516869434,3,3.390302551686155
b1276,1.933341296071478,3.866682592142956,1.933341296071478,3.3903025516869434,2,3.390302551686155
b1136,1.933341296071478,1.933341296071478,1.933341296071478,3.3903025516869434,1,3.390302551686154
b4122,1.9198171307769805,1.9198171307769805,1.9198171307769805,3.3430365639753505,2,3.3430365639747155
b1611,1.9198171307769805,1.9198171307769805,1.9198171307769805,3.3430365639753505,1,3.3430365639747155
b1612,1.9198171307769805,1.9198171307769805,1.9198171307769805,3.3430365639753505,1,3.3430365639747155
b3236,1.9194170248607785,1.9194170248607785,1.9194170248607785,3.3416432757214385,1,3.341643275720806
b1852,1.804243332450916,1.804243332450916,1.804243332450916,2.952647620709422,1,2.952647620709575
b0767,1.804243332450916,1.804243332450916,1.804243332450916,2.952647620709422,1,2.9526476207095738
b2029,1.804243332450916,1.804243332450916,1.804243332450916,2.952647620709422,1,2.9526476207095738
b2501,1.4647923595942256,1.4647923595942256,1.4647923595942256,1.9461375567466095,2,2.64715310087908
b0722,1.484100951428485,1.484100951428485,1.484100951428485,1.9977828854373192,1,2.3874690515788184
b0723,1.484100951428485,1.484100951428485,1.484100951428485,1.9977828854373192,1,2.3874690515788184
b0724,1.484100951428485,1.484100951428485,1.484100951428485,1.9977828854373192,1,2.3874690515788184
b0721,1.484100951428485,1.484100951428485,1.484100951428485,1.9977828854373192,1,2.3874690515788184
b0726,1.483821253562093,1.483821253562093,1.483821253562093,1.9970299407589043,1,1.997029940758318
b0727,1.483821253562093,1.483821253562093,1.483821253562093,1.9970299407589043,1,1.997029940758318
b3380,0.000281370200493367,0.000281370200493367,0.000281370200493367,7.180878885313249e-08,1,1.6318250334497593
b4383,0.000281370200493367,0.000281370200493367,0.000281370200493367,7.180878885313249e-08,2,1.6318250334497593
b4094,0.0,0.0,0.0,0.0,1,1.631140475784241
b0728,1.2643859438579428,1.2643859438579428,1.2643859438579428,1.4500424604641668,1,1.450042460463684
b0729,1.2643859438579428,1.2643859438579428,1.2643859438579428,1.4500424604641668,1,1.450042460463684
