gene_id,gene_name,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV,bnum,keio_call,PEC,MG_Tn5,Score
b0116,,3,460,15.44424150377654,13.230160950326022,2.2140805534505184,0,2664718.2910842854,b0116,N,,,
b0726,,1,16,15.44424150377654,15.444241503776649,-1.0658141036401505e-13,0,1385580.3934253803,b0726,N,,,
b2587,,1,16,15.44424150377654,15.444241503776578,-3.7303493627405266e-14,0,1385580.393425377,b2587,N,,,
b1488,,1,16,15.44424150377654,15.444241503776578,-3.7303493627405266e-14,0,1385580.393425377,b1488,N,,,
b3542,,3,16,15.44424150377654,15.444241503776578,-3.7303493627405266e-14,0,1385580.393425377,b3542,N,,,
b1486,,1,16,15.44424150377654,15.444241503776578,-3.7303493627405266e-14,0,1385580.393425377,b1486,N,,,
b1485,,1,16,15.44424150377654,15.444241503776578,-3.7303493627405266e-14,0,1385580.393425377,b1485,N,,,
b3543,,3,16,15.44424150377654,15.444241503776578,-3.7303493627405266e-14,0,1385580.393425377,b3543,N,,,
b3541,,3,16,15.44424150377654,15.444241503776578,-3.7303493627405266e-14,0,1385580.393425377,b3541,N,,,
b1484,,1,16,15.44424150377654,15.444241503776578,-3.7303493627405266e-14,0,1385580.393425377,b1484,N,,,
b3540,,3,16,15.44424150377654,15.444241503776578,-3.7303493627405266e-14,0,1385580.393425377,b3540,N,,,
b3544,,3,16,15.44424150377654,15.444241503776578,-3.7303493627405266e-14,0,1385580.393425377,b3544,N,,,
b1483,,1,16,15.44424150377654,15.444241503776578,-3.7303493627405266e-14,0,1385580.393425377,b1483,N,,,
b1487,,1,16,15.44424150377654,15.444241503776578,-3.7303493627405266e-14,0,1385580.393425377,b1487,N,,,
b0092,,1,452,15.44424150377654,0.0,15.44424150377654,1,2729497.731396076,b0092,N,,,
b0381,,1,452,15.44424150377654,0.0,15.44424150377654,1,2729497.731396225,b0381,N,,,
b1190,,1,452,15.44424150377654,1.7590154548625384e-14,15.444241503776524,1,2729497.731396277,b1190,N,,,
b4053,,1,452,15.44424150377654,0.0,15.44424150377654,1,2729497.73139617,b4053,N,,,
b2551,,6,436,15.44424150377654,15.344252829213245,0.0999886745632956,0,1435471.902714657,b2551,N,,,
b0870,,4,16,15.44424150377654,15.444241503776777,-2.3447910280083306e-13,0,1385580.3934253857,b0870,N,,,
b2379,,1,16,15.44424150377654,15.444241503776334,2.0605739337042905e-13,0,1385580.39342537,b2379,N,,,
b2290,,1,16,15.44424150377654,15.444241503776334,2.0605739337042905e-13,0,1385580.39342537,b2290,N,,,
b2697,,1,16,15.44424150377654,15.444241503776334,2.0605739337042905e-13,0,1385580.39342537,b2697,N,,,
b3456,,5,16,15.44424150377654,15.444241503776334,2.0605739337042905e-13,0,1385580.39342537,b3456,N,,,
b3457,,5,16,15.44424150377654,15.444241503776334,2.0605739337042905e-13,0,1385580.39342537,b3457,N,,,
b3455,,5,16,15.44424150377654,15.444241503776334,2.0605739337042905e-13,0,1385580.39342537,b3455,N,,,
b4208,,5,305,15.44424150377654,15.444053212159396,0.0001882916171442,0,1385597.9874010652,b4208,N,,,
b0007,,2,20,15.44424150377654,15.44424150377651,3.0198066269804264e-14,0,1385580.4192738312,b0007,N,,,
b0356,,3,470,15.44424150377654,13.036694232479867,2.4075472712966715,0,12848381.218172574,b0356,N,,,
b1300,,2,20,15.44424150377654,15.444241503776649,-1.0658141036401505e-13,0,1385580.4192738372,b1300,N,,,
b4084,,1,20,15.44424150377654,15.444241503776649,-1.0658141036401505e-13,0,1385580.4192738372,b4084,E,N,u,0
b4090,,2,456,15.44424150377654,10.822168362042053,4.622073141734488,0,2069850.7857912227,b4090,N,,,
b0516,,1,20,15.44424150377654,15.44424150377649,4.973799150320701e-14,0,1385580.4192738326,b0516,N,,,
b0512,,1,20,15.44424150377654,15.444241503776556,-1.5987211554602254e-14,0,1385580.4192738335,b0512,N,,,
b4085,,1,20,15.44424150377654,15.444241503776556,-1.5987211554602254e-14,0,1385580.4192738335,b4085,N,,,
b4087,,2,20,15.44424150377654,15.444241503776556,-1.5987211554602254e-14,0,1385580.4192738335,b4087,N,,,
