dimension,profile,starting_set,lambda,n_iter,final_distance,fitted_q,r2,valid_fit,verdict
3,canonical,random 27,0.0,40,0.000000e+00,0.834637,0.237019,True,STRONG-CONVERGED (machine precision; q<1)
3,canonical,random 27,0.3,40,0.000000e+00,0.418838,0.923587,True,STRONG-CONVERGED (machine precision; q<1)
3,canonical,random 27,0.5,40,4.039561e-13,0.511362,1.000000,True,STRONG-CONVERGED (machine precision; q<1)
3,canonical,random 27,0.7,40,7.845995e-08,0.706740,1.000000,True,"CONFIRMED (q=0.7067, R^2=1.0000)"
3,canonical,random 27,0.9,40,3.711124e-04,0.902209,1.000000,True,"CONFIRMED (q=0.9022, R^2=1.0000)"
3,canonical,corners 8,0.0,40,0.000000e+00,0.834999,0.236585,True,STRONG-CONVERGED (machine precision; q<1)
3,canonical,corners 8,0.3,40,0.000000e+00,0.398706,0.936107,True,STRONG-CONVERGED (machine precision; q<1)
3,canonical,corners 8,0.5,40,1.101910e-12,0.511253,1.000000,True,STRONG-CONVERGED (machine precision; q<1)
3,canonical,corners 8,0.7,40,2.082789e-07,0.706670,1.000000,True,"CONFIRMED (q=0.7067, R^2=1.0000)"
3,canonical,corners 8,0.9,40,9.717748e-04,0.902242,1.000000,True,"CONFIRMED (q=0.9022, R^2=1.0000)"
3,k=3 axis,halton 27,0.0,40,0.000000e+00,0.503322,0.715138,True,STRONG-CONVERGED (machine precision; q<1)
3,k=3 axis,halton 27,0.3,40,0.000000e+00,0.440221,0.904759,True,STRONG-CONVERGED (machine precision; q<1)
3,k=3 axis,halton 27,0.5,40,6.181747e-12,0.577805,0.999302,True,STRONG-CONVERGED (machine precision; q<1)
3,k=3 axis,halton 27,0.7,40,1.627826e-07,0.744285,0.999710,True,"CONFIRMED (q=0.7443, R^2=0.9997)"
3,k=3 axis,halton 27,0.9,40,2.105178e-04,0.911879,0.999962,True,"CONFIRMED (q=0.9119, R^2=1.0000)"
3,k=3 axis,random 27,0.0,40,0.000000e+00,0.498796,0.713498,True,STRONG-CONVERGED (machine precision; q<1)
3,k=3 axis,random 27,0.3,40,0.000000e+00,0.419707,0.925248,True,STRONG-CONVERGED (machine precision; q<1)
3,k=3 axis,random 27,0.5,40,8.566035e-13,0.519977,0.999604,True,STRONG-CONVERGED (machine precision; q<1)
3,k=3 axis,random 27,0.7,40,7.741479e-08,0.707183,0.999999,True,"CONFIRMED (q=0.7072, R^2=1.0000)"
3,k=3 axis,random 27,0.9,40,3.612695e-04,0.902361,1.000000,True,"CONFIRMED (q=0.9024, R^2=1.0000)"
3,k=3 axis,corners 8,0.0,40,0.000000e+00,0.501906,0.710857,True,STRONG-CONVERGED (machine precision; q<1)
3,k=3 axis,corners 8,0.3,40,8.881784e-16,0.424205,1.000000,True,STRONG-CONVERGED (machine precision; q<1)
3,k=3 axis,corners 8,0.5,40,2.165562e-10,0.587919,0.999993,True,"CONFIRMED (q=0.5879, R^2=1.0000)"
3,k=3 axis,corners 8,0.7,40,1.877673e-06,0.749537,0.999943,True,"CONFIRMED (q=0.7495, R^2=0.9999)"
3,k=3 axis,corners 8,0.9,40,1.538644e-03,0.911823,0.999794,True,"CONFIRMED (q=0.9118, R^2=0.9998)"
3,k=7 axis,halton 27,0.0,40,0.000000e+00,0.835546,0.236310,True,STRONG-CONVERGED (machine precision; q<1)
3,k=7 axis,halton 27,0.3,40,3.526136e-22,0.292097,0.996285,True,STRONG-CONVERGED (machine precision; q<1)
3,k=7 axis,halton 27,0.5,40,6.823906e-13,0.511259,0.999999,True,STRONG-CONVERGED (machine precision; q<1)
3,k=7 axis,halton 27,0.7,40,1.283656e-07,0.706180,1.000000,True,"CONFIRMED (q=0.7062, R^2=1.0000)"
3,k=7 axis,halton 27,0.9,40,6.211681e-04,0.901961,1.000000,True,"CONFIRMED (q=0.9020, R^2=1.0000)"
3,k=7 axis,random 27,0.0,40,0.000000e+00,0.834671,0.237014,True,STRONG-CONVERGED (machine precision; q<1)
3,k=7 axis,random 27,0.3,40,9.755296e-23,0.278914,0.993809,True,STRONG-CONVERGED (machine precision; q<1)
3,k=7 axis,random 27,0.5,40,5.508367e-13,0.510128,1.000000,True,STRONG-CONVERGED (machine precision; q<1)
3,k=7 axis,random 27,0.7,40,1.101902e-07,0.706023,1.000000,True,"CONFIRMED (q=0.7060, R^2=1.0000)"
3,k=7 axis,random 27,0.9,40,5.294136e-04,0.901918,1.000000,True,"CONFIRMED (q=0.9019, R^2=1.0000)"
3,k=7 axis,corners 8,0.0,40,0.000000e+00,0.835097,0.236570,True,STRONG-CONVERGED (machine precision; q<1)
3,k=7 axis,corners 8,0.3,40,1.418394e-22,0.281852,0.992200,True,STRONG-CONVERGED (machine precision; q<1)
3,k=7 axis,corners 8,0.5,40,8.841990e-13,0.511881,1.000000,True,STRONG-CONVERGED (machine precision; q<1)
3,k=7 axis,corners 8,0.7,40,1.633639e-07,0.706980,1.000000,True,"CONFIRMED (q=0.7070, R^2=1.0000)"
3,k=7 axis,corners 8,0.9,40,7.546609e-04,0.902276,1.000000,True,"CONFIRMED (q=0.9023, R^2=1.0000)"
3,k=3 rotated,halton 27,0.0,40,0.000000e+00,0.504020,0.721265,True,STRONG-CONVERGED (machine precision; q<1)
3,k=3 rotated,halton 27,0.3,40,0.000000e+00,0.439000,0.906467,True,STRONG-CONVERGED (machine precision; q<1)
3,k=3 rotated,halton 27,0.5,40,4.921083e-12,0.577326,0.999351,True,STRONG-CONVERGED (machine precision; q<1)
3,k=3 rotated,halton 27,0.7,40,1.415853e-07,0.744979,0.999769,True,"CONFIRMED (q=0.7450, R^2=0.9998)"
3,k=3 rotated,halton 27,0.9,40,1.903296e-04,0.912833,0.999969,True,"CONFIRMED (q=0.9128, R^2=1.0000)"
3,k=3 rotated,random 27,0.0,40,0.000000e+00,0.498718,0.717296,True,STRONG-CONVERGED (machine precision; q<1)
3,k=3 rotated,random 27,0.3,40,0.000000e+00,0.425899,0.917642,True,STRONG-CONVERGED (machine precision; q<1)
3,k=3 rotated,random 27,0.5,40,1.830101e-12,0.538911,0.998389,True,STRONG-CONVERGED (machine precision; q<1)
3,k=3 rotated,random 27,0.7,40,1.326395e-07,0.725612,0.999475,True,"CONFIRMED (q=0.7256, R^2=0.9995)"
3,k=3 rotated,random 27,0.9,40,3.801854e-04,0.908912,0.999953,True,"CONFIRMED (q=0.9089, R^2=1.0000)"
3,k=3 rotated,corners 8,0.0,40,0.000000e+00,0.494068,0.722306,True,STRONG-CONVERGED (machine precision; q<1)
3,k=3 rotated,corners 8,0.3,40,5.551115e-17,0.414647,0.999321,True,STRONG-CONVERGED (machine precision; q<1)
3,k=3 rotated,corners 8,0.5,40,2.497587e-11,0.563300,0.998324,True,STRONG-CONVERGED (machine precision; q<1)
3,k=3 rotated,corners 8,0.7,40,3.171899e-07,0.714368,0.999807,True,"CONFIRMED (q=0.7144, R^2=0.9998)"
3,k=3 rotated,corners 8,0.9,40,9.856122e-04,0.902499,1.000000,True,"CONFIRMED (q=0.9025, R^2=1.0000)"
3,k=7 rotated,halton 27,0.0,40,0.000000e+00,0.835670,0.236293,True,STRONG-CONVERGED (machine precision; q<1)
3,k=7 rotated,halton 27,0.3,40,5.121830e-22,0.296978,0.996483,True,STRONG-CONVERGED (machine precision; q<1)
3,k=7 rotated,halton 27,0.5,40,5.714783e-13,0.507547,0.999981,True,STRONG-CONVERGED (machine precision; q<1)
3,k=7 rotated,halton 27,0.7,40,1.159676e-07,0.703827,0.999991,True,"CONFIRMED (q=0.7038, R^2=1.0000)"
3,k=7 rotated,halton 27,0.9,40,5.880363e-04,0.900615,1.000000,True,"CONFIRMED (q=0.9006, R^2=1.0000)"
3,k=7 rotated,random 27,0.0,40,0.000000e+00,0.834954,0.237063,True,STRONG-CONVERGED (machine precision; q<1)
3,k=7 rotated,random 27,0.3,40,5.559620e-22,0.298366,0.999372,True,STRONG-CONVERGED (machine precision; q<1)
3,k=7 rotated,random 27,0.5,40,3.258143e-13,0.505189,0.999994,True,STRONG-CONVERGED (machine precision; q<1)
3,k=7 rotated,random 27,0.7,40,7.619737e-08,0.675512,0.965464,True,"CONFIRMED (q=0.6755, R^2=0.9655)"
3,k=7 rotated,random 27,0.9,40,4.222070e-04,0.900568,1.000000,True,"CONFIRMED (q=0.9006, R^2=1.0000)"
3,k=7 rotated,corners 8,0.0,40,0.000000e+00,0.835385,0.236536,True,STRONG-CONVERGED (machine precision; q<1)
3,k=7 rotated,corners 8,0.3,40,1.418394e-22,0.285802,0.992687,True,STRONG-CONVERGED (machine precision; q<1)
3,k=7 rotated,corners 8,0.5,40,6.396117e-13,0.513939,1.000000,True,STRONG-CONVERGED (machine precision; q<1)
3,k=7 rotated,corners 8,0.7,40,1.085915e-07,0.708212,1.000000,True,"CONFIRMED (q=0.7082, R^2=1.0000)"
3,k=7 rotated,corners 8,0.9,40,4.780014e-04,0.902787,1.000000,True,"CONFIRMED (q=0.9028, R^2=1.0000)"
5,canonical,halton 27,0.0,40,0.000000e+00,0.835485,0.236313,True,STRONG-CONVERGED (machine precision; q<1)
5,canonical,halton 27,0.3,40,0.000000e+00,0.409639,0.928995,True,STRONG-CONVERGED (machine precision; q<1)
5,canonical,halton 27,0.5,40,5.922697e-13,0.510425,1.000000,True,STRONG-CONVERGED (machine precision; q<1)
5,canonical,halton 27,0.7,40,1.160319e-07,0.706224,1.000000,True,"CONFIRMED (q=0.7062, R^2=1.0000)"
5,canonical,halton 27,0.9,40,5.508811e-04,0.902077,1.000000,True,"CONFIRMED (q=0.9021, R^2=1.0000)"
5,canonical,random 27,0.0,40,0.000000e+00,0.835466,0.236378,True,STRONG-CONVERGED (machine precision; q<1)
5,canonical,random 27,0.3,40,0.000000e+00,0.400600,0.929208,True,STRONG-CONVERGED (machine precision; q<1)
5,canonical,random 27,0.5,40,7.944911e-13,0.509560,1.000000,True,STRONG-CONVERGED (machine precision; q<1)
5,canonical,random 27,0.7,40,1.607236e-07,0.705703,1.000000,True,"CONFIRMED (q=0.7057, R^2=1.0000)"
5,canonical,random 27,0.9,40,7.775313e-04,0.901962,1.000000,True,"CONFIRMED (q=0.9020, R^2=1.0000)"
5,canonical,corners 8,0.0,40,0.000000e+00,0.834976,0.236582,True,STRONG-CONVERGED (machine precision; q<1)
5,canonical,corners 8,0.3,40,0.000000e+00,0.395107,0.937929,True,STRONG-CONVERGED (machine precision; q<1)
5,canonical,corners 8,0.5,40,1.331210e-12,0.509512,1.000000,True,STRONG-CONVERGED (machine precision; q<1)
5,canonical,corners 8,0.7,40,2.690742e-07,0.705525,1.000000,True,"CONFIRMED (q=0.7055, R^2=1.0000)"
5,canonical,corners 8,0.9,40,1.311030e-03,0.901796,1.000000,True,"CONFIRMED (q=0.9018, R^2=1.0000)"
5,k=3 axis,halton 27,0.0,40,0.000000e+00,0.503322,0.715138,True,STRONG-CONVERGED (machine precision; q<1)
5,k=3 axis,halton 27,0.3,40,0.000000e+00,0.414071,0.934174,True,STRONG-CONVERGED (machine precision; q<1)
5,k=3 axis,halton 27,0.5,40,1.258281e-12,0.521708,0.999397,True,STRONG-CONVERGED (machine precision; q<1)
5,k=3 axis,halton 27,0.7,40,2.628703e-07,0.727660,0.999368,True,"CONFIRMED (q=0.7277, R^2=0.9994)"
5,k=3 axis,halton 27,0.9,40,5.281364e-04,0.905674,0.999978,True,"CONFIRMED (q=0.9057, R^2=1.0000)"
5,k=3 axis,random 27,0.0,40,0.000000e+00,0.499819,0.712677,True,STRONG-CONVERGED (machine precision; q<1)
5,k=3 axis,random 27,0.3,40,2.220446e-16,0.423749,0.999969,True,STRONG-CONVERGED (machine precision; q<1)
5,k=3 axis,random 27,0.5,40,1.177384e-10,0.587816,0.999989,True,"CONFIRMED (q=0.5878, R^2=1.0000)"
5,k=3 axis,random 27,0.7,40,1.340041e-06,0.750833,0.999971,True,"CONFIRMED (q=0.7508, R^2=1.0000)"
5,k=3 axis,random 27,0.9,40,1.378054e-03,0.911279,0.999193,True,"CONFIRMED (q=0.9113, R^2=0.9992)"
5,k=3 axis,corners 8,0.0,40,0.000000e+00,0.501906,0.710857,True,STRONG-CONVERGED (machine precision; q<1)
5,k=3 axis,corners 8,0.3,40,8.881784e-16,0.424100,0.999999,True,STRONG-CONVERGED (machine precision; q<1)
5,k=3 axis,corners 8,0.5,40,2.165576e-10,0.586690,0.999957,True,"CONFIRMED (q=0.5867, R^2=1.0000)"
5,k=3 axis,corners 8,0.7,40,1.885510e-06,0.745140,0.999753,True,"CONFIRMED (q=0.7451, R^2=0.9998)"
5,k=3 axis,corners 8,0.9,40,1.773462e-03,0.908325,0.999860,True,"CONFIRMED (q=0.9083, R^2=0.9999)"
5,k=7 axis,halton 27,0.0,40,0.000000e+00,0.835531,0.236309,True,STRONG-CONVERGED (machine precision; q<1)
5,k=7 axis,halton 27,0.3,40,2.728289e-22,0.283056,0.989742,True,STRONG-CONVERGED (machine precision; q<1)
5,k=7 axis,halton 27,0.5,40,6.617089e-13,0.506041,0.999977,True,STRONG-CONVERGED (machine precision; q<1)
5,k=7 axis,halton 27,0.7,40,1.407869e-07,0.702122,1.000000,True,"CONFIRMED (q=0.7021, R^2=1.0000)"
5,k=7 axis,halton 27,0.9,40,7.793543e-04,0.891882,0.882275,True,"WEAK (q=0.8919, R^2=0.8823)"
5,k=7 axis,random 27,0.0,40,0.000000e+00,0.835520,0.236354,True,STRONG-CONVERGED (machine precision; q<1)
5,k=7 axis,random 27,0.3,40,8.915796e-23,0.276995,0.992413,True,STRONG-CONVERGED (machine precision; q<1)
5,k=7 axis,random 27,0.5,40,7.313083e-13,0.507805,1.000000,True,STRONG-CONVERGED (machine precision; q<1)
5,k=7 axis,random 27,0.7,40,1.578118e-07,0.704390,1.000000,True,"CONFIRMED (q=0.7044, R^2=1.0000)"
5,k=7 axis,random 27,0.9,40,8.031758e-04,0.901371,1.000000,True,"CONFIRMED (q=0.9014, R^2=1.0000)"
5,k=7 axis,corners 8,0.0,40,0.000000e+00,0.835072,0.236566,True,STRONG-CONVERGED (machine precision; q<1)
5,k=7 axis,corners 8,0.3,40,1.418394e-22,0.277811,0.991970,True,STRONG-CONVERGED (machine precision; q<1)
5,k=7 axis,corners 8,0.5,40,1.166434e-12,0.509230,1.000000,True,STRONG-CONVERGED (machine precision; q<1)
5,k=7 axis,corners 8,0.7,40,2.370223e-07,0.705317,1.000000,True,"CONFIRMED (q=0.7053, R^2=1.0000)"
5,k=7 axis,corners 8,0.9,40,1.160713e-03,0.901686,1.000000,True,"CONFIRMED (q=0.9017, R^2=1.0000)"
5,k=3 rotated,halton 27,0.0,40,0.000000e+00,0.504281,0.712819,True,STRONG-CONVERGED (machine precision; q<1)
5,k=3 rotated,halton 27,0.3,40,0.000000e+00,0.414633,0.972005,True,STRONG-CONVERGED (machine precision; q<1)
5,k=3 rotated,halton 27,0.5,40,7.149263e-12,0.549392,0.997826,True,STRONG-CONVERGED (machine precision; q<1)
5,k=3 rotated,halton 27,0.7,40,1.352543e-07,0.708664,0.999962,True,"CONFIRMED (q=0.7087, R^2=1.0000)"
5,k=3 rotated,halton 27,0.9,40,5.579910e-04,0.902266,1.000000,True,"CONFIRMED (q=0.9023, R^2=1.0000)"
5,k=3 rotated,random 27,0.0,40,0.000000e+00,0.497780,0.720408,True,STRONG-CONVERGED (machine precision; q<1)
5,k=3 rotated,random 27,0.3,40,1.570092e-16,0.421088,0.999933,True,STRONG-CONVERGED (machine precision; q<1)
5,k=3 rotated,random 27,0.5,40,7.700751e-11,0.583411,0.999855,True,STRONG-CONVERGED (machine precision; q<1)
5,k=3 rotated,random 27,0.7,40,9.351610e-07,0.743144,0.999703,True,"CONFIRMED (q=0.7431, R^2=0.9997)"
5,k=3 rotated,random 27,0.9,40,1.030056e-03,0.909606,0.999975,True,"CONFIRMED (q=0.9096, R^2=1.0000)"
5,k=3 rotated,corners 8,0.0,40,0.000000e+00,0.494008,0.724226,True,STRONG-CONVERGED (machine precision; q<1)
5,k=3 rotated,corners 8,0.3,40,5.551115e-17,0.412416,0.998983,True,STRONG-CONVERGED (machine precision; q<1)
5,k=3 rotated,corners 8,0.5,40,2.498706e-11,0.557627,0.997970,True,STRONG-CONVERGED (machine precision; q<1)
5,k=3 rotated,corners 8,0.7,40,3.600420e-07,0.710664,0.999895,True,"CONFIRMED (q=0.7107, R^2=0.9999)"
5,k=3 rotated,corners 8,0.9,40,1.321319e-03,0.901940,1.000000,True,"CONFIRMED (q=0.9019, R^2=1.0000)"
5,k=7 rotated,halton 27,0.0,40,0.000000e+00,0.827086,0.274133,True,STRONG-CONVERGED (machine precision; q<1)
5,k=7 rotated,halton 27,0.3,40,5.121830e-22,0.294011,0.996208,True,STRONG-CONVERGED (machine precision; q<1)
5,k=7 rotated,halton 27,0.5,40,7.601354e-13,0.507449,0.999994,True,STRONG-CONVERGED (machine precision; q<1)
5,k=7 rotated,halton 27,0.7,40,1.550453e-07,0.703614,0.999999,True,"CONFIRMED (q=0.7036, R^2=1.0000)"
5,k=7 rotated,halton 27,0.9,40,7.939820e-04,0.901009,1.000000,True,"CONFIRMED (q=0.9010, R^2=1.0000)"
5,k=7 rotated,random 27,0.0,40,0.000000e+00,0.827017,0.274179,True,STRONG-CONVERGED (machine precision; q<1)
5,k=7 rotated,random 27,0.3,40,5.202798e-22,0.293086,0.995850,True,STRONG-CONVERGED (machine precision; q<1)
