reaction_id,kappa_V_real,raw_F,fisher_dist,viability_margin,constraint_violation_rate,natural_grad,random_curvature,recovery_margin_erosion,V_traj_final
E7b,0.008253163436655934,0.03614848201418008,0.09066068098254945,0.021744431451824097,0.0,0.01301638498933232,-0.02440087787949377,0.005038037651239113,0.9949619623487609
E8a,0.009832487532119445,0.03491113033094384,0.0968797619364703,0.021606769753041048,0.0,0.013268848463819052,-0.021409480320914182,0.009775530050972203,0.9902244699490278
E8b,0.009832487532119445,0.03491113033094384,0.0968797619364703,0.021606769753041048,0.0,0.013268848463819052,0.14071934535801664,0.009775530050972203,0.9902244699490278
E9a,0.0012381244716626316,0.016556890367014132,0.019924601463565995,0.015815105693057212,0.0,0.005977170389892366,-0.034665635347448855,0.005869981774103583,0.9941300182258964
E9b,0.0012381244716625427,0.016556890367014132,0.01992460146356527,0.015815105693057212,0.0,0.005977170389892295,0.0012520585080410271,0.005869981774049071,0.9941300182259509
E10a,0.0,0.010043772421904018,0.0017495743626127676,0.12203023782833783,0.0,0.0013081592825061688,-0.09933120187291197,0.0,1.1373438059772174
E10b,0.0,0.010043772421904018,0.0017495743626127676,0.12203023782833783,0.0,0.0013081592825061688,0.04383011199915606,0.0,1.1373438059772174
E11a,0.00825062106479981,0.03565773680800732,0.09073884484543464,0.021728978026058533,0.0,0.013023109929740788,-0.24161714603887102,0.005907256241384995,0.994092743758615
E11b,0.00825062106479981,0.03565773680800732,0.09073884484543464,0.021728978026058533,0.0,0.013023109929740788,-0.08211534457369783,0.005907256241384995,0.994092743758615
E12a,0.006951416224971263,0.03565771754529368,0.07589875735460817,0.031933080274959634,0.0,0.01142706863076777,-0.1986641113782213,0.005907256241384995,0.994092743758615
E12b,0.006951416224971264,0.03565771754529368,0.07589875735460819,0.031933080274959634,0.0,0.011427068630767773,-0.16442956109889628,0.005907256241384995,0.994092743758615
E13a,0.1179438216031284,0.10635176931624901,0.2280595051485529,0.3005084446675186,0.0,0.020144394520508136,-0.008754635710143548,0.10657710635962503,0.893422893640375
E13b,0.1179438216031284,0.10635176931624901,0.2280595051485529,0.3005084446675186,0.0,0.020144394520508136,-0.13866846676732444,0.10657710635962503,0.893422893640375
E14a,0.014097106140030988,0.03507731357148114,0.07891859039664048,0.0334207112530064,0.0,0.012100909990750893,0.07894842947002433,0.019428172504810104,0.9805718274951899
E14b,0.014097106140030988,0.03507731357148114,0.07891859039664048,0.0334207112530064,0.0,0.012100909990750893,-0.10669295201879746,0.019428172504810104,0.9805718274951899
E15a,0.009114904966406382,0.041125773467543314,0.11412369237896372,0.025872437319452747,0.0,0.014706571799403417,0.17956886091219282,0.006951265231452064,0.9930487347685479
