tau,beta,D,L,mdl,sse,kappa_V,abs_err_kappa
0.2,10.0,0.2,4,-90.75464071267527,13.543010233290284,0.6130578871393064,0.34233595830834485
0.2,10.0,0.2,8,-92.76791131065825,13.008528129306393,0.9153587200142614,0.6446367911832999
0.2,10.0,0.2,16,-92.76791131065825,13.008528129306393,0.9153587200142614,0.6446367911832999
0.2,10.0,0.2,32,-92.76791131065825,13.008528129306393,0.9153587200142614,0.6446367911832999
0.2,10.0,0.5,4,-84.77313223317084,15.264055243151583,0.6632951610420393,0.39257323221107776
0.2,10.0,0.5,8,-70.98563011326078,20.110675154183937,1.1593537368006825,0.888631807969721
0.2,10.0,0.5,16,-70.98563011326078,20.110675154183937,1.1593537368006825,0.888631807969721
0.2,10.0,0.5,32,-70.98563011326078,20.110675154183937,1.1593537368006825,0.888631807969721
0.2,50.0,0.05,4,-91.44095186033353,13.358385851816305,0.5304969015553759,0.2597749727244143
0.2,50.0,0.05,8,-96.76148146743384,12.009929298535168,0.6366153366654624,0.36589340783450086
0.2,50.0,0.05,16,-96.76148146743384,12.009929298535168,0.6366153366654624,0.36589340783450086
0.2,50.0,0.05,32,-96.76148146743384,12.009929298535168,0.6366153366654624,0.36589340783450086
0.2,50.0,0.1,4,-91.37371009116357,13.376362767061513,0.5481767022554171,0.27745477342445557
0.2,50.0,0.1,8,-95.95873543864315,12.20430391893554,0.6757085306863547,0.40498660185539315
0.2,50.0,0.1,16,-95.95873543864315,12.20430391893554,0.6757085306863547,0.40498660185539315
0.2,50.0,0.1,32,-95.95873543864315,12.20430391893554,0.6757085306863547,0.40498660185539315
0.2,50.0,0.2,4,-96.48937401321842,12.075467296294503,0.5767515066115766,0.306029577780615
0.2,50.0,0.2,8,-100.0610396625277,11.242964837814167,0.7796198958226748,0.5088979669917132
0.2,50.0,0.2,16,-100.0610396625277,11.242964837814167,0.7796198958226748,0.5088979669917132
0.2,50.0,0.2,32,-100.0610396625277,11.242964837814167,0.7796198958226748,0.5088979669917132
0.2,50.0,0.5,4,-82.90480894962953,15.845209256897222,0.6802102293377678,0.4094883005068062
0.2,50.0,0.5,8,-86.05253389741688,14.878432789823458,1.0425928777163762,0.7718709488854146
0.2,50.0,0.5,16,-86.05253389741688,14.878432789823458,1.0425928777163762,0.7718709488854146
0.2,50.0,0.5,32,-86.05253389741688,14.878432789823458,1.0425928777163762,0.7718709488854146
0.5,1.0,0.05,4,-95.72158038379189,12.262327663706069,0.4255227946709725,0.1548008658400109
0.5,1.0,0.05,8,-95.36314942901151,12.350547449178508,0.6088968756884998,0.33817494685753824
0.5,1.0,0.05,16,-95.36314942901151,12.350547449178508,0.6088968756884998,0.33817494685753824
0.5,1.0,0.05,32,-95.36314942901151,12.350547449178508,0.6088968756884998,0.33817494685753824
0.5,1.0,0.1,4,-97.42397476823686,11.851848929019024,0.4086504855017266,0.13792855667076503
0.5,1.0,0.1,8,-96.71740921254222,12.020520058741898,0.5843901551701807,0.3136682263392191
0.5,1.0,0.1,16,-96.71740921254222,12.020520058741898,0.5843901551701807,0.3136682263392191
0.5,1.0,0.1,32,-96.71740921254222,12.020520058741898,0.5843901551701807,0.3136682263392191
0.5,1.0,0.2,4,-101.20895771455108,10.987785252795922,0.3713274025321814,0.1006054737012198
0.5,1.0,0.2,8,-99.71832263093465,11.320292661395857,0.5303863895202824,0.2596644606893208
0.5,1.0,0.2,16,-99.71832263093465,11.320292661395857,0.5303863895202824,0.2596644606893208
0.5,1.0,0.2,32,-99.71832263093465,11.320292661395857,0.5303863895202824,0.2596644606893208
0.5,1.0,0.5,4,-113.09818155621299,8.662468666899695,0.24210315133642227,0.02861877749453931
0.5,1.0,0.5,8,-109.66959474555298,9.277308604125873,0.34631403254372195,0.07559210371276037
0.5,1.0,0.5,16,-109.66959474555298,9.277308604125873,0.34631403254372195,0.07559210371276037
