test,axis_a,axis_b,angle_a,angle_b,holonomy,holonomy_ref,path_vs_single_diff
distinct_plane,z,x,0.6661706610803297,2.6814608274116636,2.7071684276199117,1.707144678785041,1.707144678785041
distinct_plane,z,x,2.0766190815439782,1.4599088567205332,2.3656233605875507,2.6600520944450134,2.6600520944450134
distinct_plane,z,x,2.061661683548704,1.4043368607075037,2.3349155990300705,2.6089791319487676,2.6089791319487676
distinct_plane,z,x,1.3191460969380924,2.3188360687983964,2.498569131746319,2.628726884409112,2.628726884409112
distinct_plane,z,x,0.30387560212855674,2.1314377541175573,2.144155013382647,0.7426789060840613,0.7426789060840613
distinct_plane,z,x,0.23914843288066753,2.8795196970011285,2.881401692636907,0.6643228173970146,0.6643228173970146
distinct_plane,z,x,0.7230500132227683,0.1523495837915077,0.7382352008638122,0.15221069464214226,0.15221069464214226
distinct_plane,z,x,1.9540582618207214,0.6214093412244494,2.0180214402072942,1.3866645457057074,1.3866645457057074
distinct_plane,z,x,1.1329211981462721,2.4630040594698537,2.572260792564572,2.4690624341137597,2.4690624341137597
distinct_plane,z,x,2.954698806184267,2.5657780370205843,3.08859583740197,1.6077321217720326,1.6077321217720326
distinct_plane,z,x,0.8509153684619902,1.2491482221461752,1.478741818403361,1.3249170363306388,1.3249170363306388
distinct_plane,z,x,2.909730544222416,2.693639511354144,3.090203707090807,1.3647167672565417,1.3647167672565417
distinct_plane,z,x,0.6192568779543975,2.0813670397746358,2.136664895240515,1.4347917340899687,1.4347917340899687
distinct_plane,z,x,1.2905475394943515,2.9357192117750635,2.977218453432496,2.7117694126402907,2.7117694126402907
distinct_plane,z,x,1.8803889060727195,2.4358906487062515,2.7311957148076864,2.796911658582007,2.796911658582007
distinct_plane,z,x,2.877539618194336,0.5091832158278907,2.8860984386159068,1.3675597832833812,1.3675597832833812
distinct_plane,z,x,2.1395144695914206,0.33269228601131806,2.1546026450092346,0.8128216740711574,0.8128216740711574
distinct_plane,z,x,1.6349146582406875,2.5715782321911216,2.754503728823243,2.8278588736735055,2.8278588736735055
distinct_plane,z,x,0.4280240668971246,1.7132933327968458,1.752510357721048,0.8960819757206352,0.8960819757206352
distinct_plane,z,x,2.2223467228542146,1.902567097293628,2.620564734635499,2.8224770827100767,2.8224770827100767
distinct_plane,z,x,0.28298280753105653,1.9096127658086124,1.9237254861291788,0.6467799741427469,0.6467799741427469
distinct_plane,z,x,2.1099382027000844,2.537948730470801,2.847281569958244,2.6166398928925427,2.6166398928925427
