bnum,gene_name_keio,COG_id,keio_call,PEC,MG_Tn5,y_ess_in_silico,b_wt,b_ko,delta_b,kV,log10_kV,keio_E,kV_db_original,log10_kV_db_original,kV_db_linear,log10_kV_db_linear,kV_db_quadratic,log10_kV_db_quadratic,kV_db_indicator,log10_kV_db_indicator,model
b3882,yihU,COG2084,N,,,0,15.44424150377654,15.444241503776174,3.659295089164516e-13,1738372.31746917,6.24014279748981,0,1738372.31746917,6.24014279748981,1738372.3174692113,6.2401427974898205,1738372.31746917,6.24014279748981,0.0,-12.0,iJO1366
b3432,glgB,COG0296,N,,,0,15.44424150377654,15.444241503776544,-3.552713678800501e-15,1738372.317469173,6.240142797489811,0,1738372.317469173,6.240142797489811,1738372.3174691726,6.240142797489811,1738372.317469173,6.240142797489811,0.0,-12.0,iJO1366
b0459,maa,COG0110,N,,,0,15.44424150377654,15.444241503776544,-3.552713678800501e-15,1738372.317469173,6.240142797489811,0,1738372.317469173,6.240142797489811,1738372.3174691726,6.240142797489811,1738372.317469173,6.240142797489811,0.0,-12.0,iJO1366
b0124,gcd,COG4993,N,,,0,15.44424150377654,15.444241503776544,-3.552713678800501e-15,1738372.317469173,6.240142797489811,0,1738372.317469173,6.240142797489811,1738372.3174691726,6.240142797489811,1738372.317469173,6.240142797489811,0.0,-12.0,iJO1366
b0837,yliI,COG2133,N,,,0,15.44424150377654,15.444241503776544,-3.552713678800501e-15,1738372.317469173,6.240142797489811,0,1738372.317469173,6.240142797489811,1738372.3174691726,6.240142797489811,1738372.317469173,6.240142797489811,0.0,-12.0,iJO1366
b3428,glgP,COG0058,N,,,0,15.44424150377654,15.444241503776544,-3.552713678800501e-15,1738372.317469173,6.240142797489811,0,1738372.317469173,6.240142797489811,1738372.3174691726,6.240142797489811,1738372.317469173,6.240142797489811,0.0,-12.0,iJO1366
b3126,garL,COG3836,N,,,0,15.44424150377654,15.444241503776544,-3.552713678800501e-15,1738372.317469173,6.240142797489811,0,1738372.317469173,6.240142797489811,1738372.3174691726,6.240142797489811,1738372.317469173,6.240142797489811,0.0,-12.0,iJO1366
b2787,gudD,COG4948,N,,,0,15.44424150377654,15.444241503776544,-3.552713678800501e-15,1738372.317469173,6.240142797489811,0,1738372.317469173,6.240142797489811,1738372.3174691726,6.240142797489811,1738372.317469173,6.240142797489811,0.0,-12.0,iJO1366
b2788,gudX,COG4948,N,,,0,15.44424150377654,15.444241503776544,-3.552713678800501e-15,1738372.317469173,6.240142797489811,0,1738372.317469173,6.240142797489811,1738372.3174691726,6.240142797489811,1738372.317469173,6.240142797489811,0.0,-12.0,iJO1366
b3429,glgA,COG0297,N,,,0,15.44424150377654,15.444241503776544,-3.552713678800501e-15,1738372.317469173,6.240142797489811,0,1738372.317469173,6.240142797489811,1738372.3174691726,6.240142797489811,1738372.317469173,6.240142797489811,0.0,-12.0,iJO1366
b3631,rfaG,COG0438,N,,,0,15.44424150377654,15.444241503776544,-3.552713678800501e-15,1738372.317469173,6.240142797489811,0,1738372.317469173,6.240142797489811,1738372.3174691726,6.240142797489811,1738372.317469173,6.240142797489811,0.0,-12.0,iJO1366
b3627,rfaI,COG1442,N,,,0,15.44424150377654,15.444241503776544,-3.552713678800501e-15,1738372.317469173,6.240142797489811,0,1738372.317469173,6.240142797489811,1738372.3174691726,6.240142797489811,1738372.317469173,6.240142797489811,0.0,-12.0,iJO1366
b3626,rfaJ,COG1442,N,,,0,15.44424150377654,15.444241503776544,-3.552713678800501e-15,1738372.317469173,6.240142797489811,0,1738372.317469173,6.240142797489811,1738372.3174691726,6.240142797489811,1738372.317469173,6.240142797489811,0.0,-12.0,iJO1366
b1621,malX,COG1263,N,,,0,15.44424150377654,15.438391567409791,0.0058499363667472,1772920.74655533,6.248689322119254,0,1772920.74655533,6.248689322119254,1773592.2896381095,6.2488537920962255,1772921.0009209653,6.248689384428629,0.0,-12.0,iJO1366
