bnum,gene_name,COG_id,keio_call,PEC,MG_Tn5,y_essential_in_silico_iJO1366,b_wt,b_ko,delta_b,kV,log10_kV
b3806,cyaA,COG3072,N,,,0,15.44424150377654,15.44424150377673,-1.900701818158268e-13,1385667.61803462,6.141659067963394
b0030,rihC,COG1957,N,,,0,15.44424150377654,15.44424150377673,-1.900701818158268e-13,1385667.61803462,6.141659067963394
b2393,nupC,COG1972,N,,,0,15.44424150377654,15.44424150377673,-1.900701818158268e-13,1385667.61803462,6.141659067963394
b2406,xapB,COG0477,N,,,0,15.44424150377654,15.44424150377673,-1.900701818158268e-13,1385667.61803462,6.141659067963394
b0411,tsx,COG3248,N,,,0,15.44424150377654,15.44424150377673,-1.900701818158268e-13,1385667.61803462,6.141659067963394
b1992,cobS,COG0368,N,,,0,15.44424150377654,15.44424150377673,-1.900701818158268e-13,1385667.61803462,6.141659067963394
b1709,btuD,COG4138,N,,,0,15.44424150377654,15.44424150377673,-1.900701818158268e-13,1385667.61803462,6.141659067963394
b0158,btuF,COG0614,N,,,0,15.44424150377654,15.44424150377673,-1.900701818158268e-13,1385667.61803462,6.141659067963394
b1711,btuC,COG4139,N,,,0,15.44424150377654,15.44424150377673,-1.900701818158268e-13,1385667.61803462,6.141659067963394
b3966,btuB,COG4206,N,,,0,15.44424150377654,15.44424150377673,-1.900701818158268e-13,1385667.61803462,6.141659067963394
b3005,exbD,COG0848,N,,,0,15.44424150377654,15.44424150377673,-1.900701818158268e-13,1385667.61803462,6.141659067963394
b3006,exbB,COG0811,N,,,0,15.44424150377654,15.44424150377673,-1.900701818158268e-13,1385667.61803462,6.141659067963394
b1252,tonB,COG0810,N,,,0,15.44424150377654,15.44424150377673,-1.900701818158268e-13,1385667.61803462,6.141659067963394
b3397,nudE,COG0494,N,,,0,15.44424150377654,15.44424150377673,-1.900701818158268e-13,1385667.61803462,6.141659067963394
b3034,nudF,COG0494,N,,,0,15.44424150377654,15.44424150377673,-1.900701818158268e-13,1385667.61803462,6.141659067963394
b0469,apt,COG0503,N,,,0,15.44424150377654,15.44424150377673,-1.900701818158268e-13,1385667.617386412,6.141659067760234
b2750,cysC,COG0529,N,,,1,15.44424150377654,5.10114481910136e-13,15.44424150377603,2729497.73139614,6.436082737681164
b1131,purB,COG0015,E,N,u,1,15.44424150377654,-6.192472787381941e-13,15.44424150377716,2729497.7313962867,6.436082737681187
b4177,purA,COG0104,N,,,1,15.44424150377654,7.517650469021255e-13,15.444241503775787,2729497.731396073,6.436082737681153
b0677,nagA,COG1820,N,,,0,15.44424150377654,15.44424150377647,7.105427357601003e-14,1385658.695324592,6.141656271408034
b0110,ampD,COG3023,N,,,0,15.44424150377654,15.444241503776714,-1.7408297026122457e-13,1385658.6953246004,6.141656271408036
b2435,amiA,COG0860,N,,,0,15.44424150377654,15.444241503776714,-1.7408297026122457e-13,1385658.6953246004,6.141656271408036
b4169,amiB,COG0860,N,,,0,15.44424150377654,15.444241503776714,-1.7408297026122457e-13,1385658.6953246004,6.141656271408036
b1107,nagZ,COG1472,N,,,0,15.44424150377654,15.444241503776714,-1.7408297026122457e-13,1385658.6953246004,6.141656271408036
b0433,ampG,COG0477,N,,,0,15.44424150377654,15.444241503776714,-1.7408297026122457e-13,1385658.6953246004,6.141656271408036
b3619,rfaD,COG0451,N,,,0,15.44424150377654,15.444241503776714,-1.7408297026122457e-13,1385658.6953246004,6.141656271408036
b2937,speB,COG0010,N,,,0,15.44424150377654,15.444241503776714,-1.7408297026122457e-13,1385658.6953246004,6.141656271408036
b3018,plsC,COG0204,E,E,u,1,15.44424150377654,0.0,15.44424150377654,2729497.7313961177,6.4360827376811605
b3958,argC,COG0002,N,,,1,15.44424150377654,0.0,15.44424150377654,2729497.731396262,6.4360827376811836
b0575,cusA,COG3696,N,,,0,15.44424150377654,15.444241503776627,-8.704148513061227e-14,1385658.6953245988,6.141656271408036
b0572,cusC,COG1538,N,,,0,15.44424150377654,15.444241503776464,7.638334409421078e-14,1385658.6953245911,6.141656271408033
b0574,cusB,COG0845,N,,,0,15.44424150377654,15.444241503776464,7.638334409421078e-14,1385658.6953245911,6.141656271408033
b4006,purH,COG0138,N,,,1,15.44424150377654,6.138963937470257e-12,15.4442415037704,2729497.731395298,6.43608273768103
b0522,purK,COG0026,N,,,1,15.44424150377654,1.2433169433624738e-12,15.444241503775295,2729497.7313960083,6.436082737681143
b0523,purE,COG0041,N,,,1,15.44424150377654,-2.5553053966682358e-12,15.444241503779097,2729497.731396573,6.436082737681233
