network,type,component,n_producers,max_dep_ratio,max_dep_ratio_recovery,r_argmax,baseline_conc,verdict_at_0.5
I,enzyme,ACK2,1,0.7139432636696387,0.0,E10b,99.75,FRAGILE
I,enzyme,GLY1,1,0.7139432636696387,0.0,E13a,99.75,FRAGILE
I,enzyme,GLY2,1,0.7139432636696387,0.0,E13b,99.75,FRAGILE
I,enzyme,GLYP1,1,0.7139432636696387,0.0,E14a,99.75,FRAGILE
I,enzyme,GLYP2,1,0.7139432636696387,0.0,E14b,99.75,FRAGILE
I,enzyme,PPK1,1,0.7139432636696387,0.0,E15a,99.75,FRAGILE
I,enzyme,PPK2,1,0.7139432636696387,0.0,E15b,99.75,FRAGILE
I,regulatory,TF,2,0.6558757002215183,0.0,G_auto,99.75,FRAGILE
J,metabolic,FBP,4,1.0,-0.02248582979050595,M2a,11.596152304130268,FRAGILE
J,metabolic,PEP,2,1.0,-0.007164655187965727,M3a,81.22882073653885,FRAGILE
J,metabolic,PYR,6,0.0,0.0,M4a,100.0,ROBUST
J,metabolic,ALA,6,1.0,0.0,M5a,100.0,FRAGILE
J,metabolic,MAL,2,0.0,0.0,M7a,99.75,ROBUST
J,metabolic,GLU,6,0.0,0.0,M12a,100.0,ROBUST
J,metabolic,Glycogen,2,0.0,0.0,M13a,100.0,ROBUST
J,metabolic,PolyP,2,0.6790505423303664,0.0654860641558109,M15a,15.517671995921331,FRAGILE
J,metabolic,DHAP,2,0.31273911057909043,-0.004350523205331055,M21a,14.46683230625515,ROBUST
J,metabolic,G3P,2,0.31273911057909043,-0.004350523205331055,M21a,14.46683230625515,ROBUST
J,enzyme,HK1,1,0.7139432636696387,0.0,E1a,100.0,FRAGILE
J,enzyme,HK2,1,0.7139432636696387,0.0,E1b,100.0,FRAGILE
J,enzyme,PFK1,1,0.7139432636696387,0.0,E2a,100.0,FRAGILE
J,enzyme,PFK2,1,0.7139432636696387,0.0,E2b,100.0,FRAGILE
J,enzyme,ALDO1,1,0.7139432636696387,0.0,E3a,100.0,FRAGILE
J,enzyme,ALDO2,1,0.7139432636696387,0.0,E3b,100.0,FRAGILE
J,enzyme,ALDO3,1,0.7139432636696387,0.0,E21a,100.0,FRAGILE
J,enzyme,ALDO4,1,0.7139432636696387,0.0,E21b,100.0,FRAGILE
J,enzyme,PYK1,1,0.7139432636696387,0.0,E4a,100.0,FRAGILE
J,enzyme,PYK2,1,0.7139432636696387,0.0,E4b,100.0,FRAGILE
J,enzyme,ALT1,1,0.7139432636696387,0.0,E5a,100.0,FRAGILE
J,enzyme,ALT2,1,0.7139432636696387,0.0,E5b,100.0,FRAGILE
J,enzyme,ALT3,1,0.7139432636696387,0.0,E11a,100.0,FRAGILE
J,enzyme,ALT4,1,0.7139432636696387,0.0,E11b,100.0,FRAGILE
J,enzyme,ALT5,1,0.7139432636696387,0.0,E12a,100.0,FRAGILE
J,enzyme,ALT6,1,0.7139432636696387,0.0,E12b,100.0,FRAGILE
J,enzyme,ASPAT1,1,0.7139432636696387,0.0,E6a,100.0,FRAGILE
J,enzyme,ASPAT2,1,0.7139432636696387,0.0,E6b,100.0,FRAGILE
J,enzyme,ASPAT3,1,0.7139432636696387,0.0,E17a,100.0,FRAGILE
J,enzyme,ASPAT4,1,0.7139432636696387,0.0,E17b,100.0,FRAGILE
J,enzyme,ALT7,1,0.7139432636696387,0.0,E19a,100.0,FRAGILE
J,enzyme,ALT8,1,0.7139432636696387,0.0,E19b,100.0,FRAGILE
J,enzyme,MDH1,1,0.7139432636696387,0.0,E7a,100.0,FRAGILE
J,enzyme,MDH2,1,0.7139432636696387,0.0,E7b,100.0,FRAGILE
J,enzyme,PDH1,1,0.7139432636696387,0.0,E8a,100.0,FRAGILE
J,enzyme,PDH2,1,0.7139432636696387,0.0,E8b,100.0,FRAGILE
J,enzyme,PEPC1,1,0.7139432636696387,0.0,E9a,100.0,FRAGILE
J,enzyme,PEPC2,1,0.7139432636696387,0.0,E9b,100.0,FRAGILE
J,enzyme,ACK1,1,0.7139432636696387,0.0,E10a,100.0,FRAGILE
J,enzyme,ACK2,1,0.7139432636696387,0.0,E10b,100.0,FRAGILE
J,enzyme,GLY1,1,0.7139432636696387,0.0,E13a,100.0,FRAGILE
J,enzyme,GLY2,1,0.7139432636696387,0.0,E13b,100.0,FRAGILE
J,enzyme,GLYP1,1,0.7139432636696387,0.0,E14a,100.0,FRAGILE
J,enzyme,GLYP2,1,0.7139432636696387,0.0,E14b,100.0,FRAGILE
J,enzyme,PPK1,1,0.7139432636696387,0.0,E15a,100.0,FRAGILE
J,enzyme,PPK2,1,0.7139432636696387,0.0,E15b,100.0,FRAGILE
J,regulatory,TF,2,0.6370576087235045,0.0,G_auto,100.0,FRAGILE
