type,id,n_producers_or_mets,max_dep_ratio,max_dep_ratio_recovery,mean_dep_ratio,r_argmax_or_m_argmax,baseline_conc
reaction,E6a,3,0.7139432636696387,0.0,0.023584119016990535,ASPAT1,
reaction,E6b,3,0.7139432636696387,0.0,0.023584119016990535,ASPAT2,
reaction,E7a,3,0.7139432636696387,0.0,0.023584119016990535,MDH1,
reaction,E7b,3,0.7139432636696387,0.0,0.023584119016990535,MDH2,
reaction,E8a,3,0.7139432636696387,0.0,0.023584119016990535,PDH1,
reaction,E8b,3,0.7139432636696387,0.0,0.023584119016990535,PDH2,
reaction,E9a,3,0.7139432636696387,0.0,0.1914786190573701,PEPC1,
reaction,E9b,3,0.7139432636696387,0.0,0.19147861905736974,PEPC2,
reaction,E10a,3,0.7139432636696387,0.0,0.05470768844344324,ACK1,
reaction,E10b,3,0.7139432636696387,0.0,0.05470768844344324,ACK2,
reaction,E11a,4,0.7139432636696387,0.20049628622132598,0.18595275418691173,ALT3,
reaction,E11b,4,0.7139432636696387,0.20049628622132598,0.18595275418691173,ALT4,
reaction,E12a,3,0.7139432636696387,0.0,0.023584119016990535,ALT5,
reaction,E12b,3,0.7139432636696387,0.0,0.023584119016990535,ALT6,
reaction,E13a,3,0.7139432636696387,0.0,0.023584119016990535,GLY1,
reaction,E13b,3,0.7139432636696387,0.0,0.023584119016990535,GLY2,
reaction,E14a,3,0.7139432636696387,0.0,0.023584119016990535,GLYP1,
reaction,E14b,3,0.7139432636696387,0.0,0.023584119016990535,GLYP2,
reaction,E15a,3,0.7139432636696387,0.0,0.01277458269961799,PPK1,
reaction,E15b,3,0.7139432636696387,0.0,0.01277458269961799,PPK2,
reaction,E17a,3,0.7139432636696387,0.0,0.023584119016990535,ASPAT3,
reaction,E17b,3,0.7139432636696387,0.0,0.023584119016990535,ASPAT4,
reaction,E19a,3,0.7139432636696387,0.0,0.023584119016990535,ALT7,
reaction,E19b,3,0.7139432636696387,0.0,0.023584119016990535,ALT8,
reaction,E21a,3,0.7139432636696387,0.0,0.23366913974417627,ALDO3,
reaction,E21b,3,0.7139432636696387,0.0,0.23366913974417627,ALDO4,
reaction,E23a,3,0.7139432636696387,0.0,0.023584119016990535,ACS1,
reaction,E23b,3,0.7139432636696387,0.0,0.023584119016990535,ACS2,
reaction,G_const,3,0.0,0.0,-0.21439696887288903,TF,
reaction,G_auto,3,0.6711231623220166,0.0418173424384228,0.16626786295225554,TF,
reaction,M24a,3,0.035750341588098,0.0,0.011916780529365999,PYR,
reaction,M24b,3,0.035750341588098,0.0,0.011916780529365999,PYR,
reaction,M25a,3,0.0,0.0,-0.6509009332033351,CO2,
reaction,M25b,3,0.0,0.0,-0.6509009332033351,CO2,
reaction,M26a,2,0.3571426978454053,3.513644884919198e-10,0.17857134892270266,G6P,
reaction,M26b,2,0.3571426978454053,3.513644884919198e-10,0.17857134892270266,G6P,
reaction,M27a,2,0.0,0.0,-0.32159545330933353,Glycogen,
reaction,M27b,2,0.0,0.0,-0.32159545330933353,Glycogen,
reaction,M28a,2,0.0,0.0,-0.32159545330933353,PolyP,
reaction,M28b,2,0.0,0.0,-0.32159545330933353,PolyP,
reaction,M29a,2,-0.003915566059467673,-0.003915566059467673,-0.003915566059467673,DHAP,
reaction,M29b,2,-0.003915566059467673,-0.003915566059467673,-0.003915566059467673,DHAP,
reaction,M30a,2,-0.6431909066186671,-0.6431909066186671,-0.9763513998050026,ADP,
reaction,M30b,2,-0.6431909066186671,-0.6431909066186671,-0.9763513998050026,ADP,
reaction,E24a,3,0.7139432636696387,0.0,0.023584119016990535,MAE1,
reaction,E24b,3,0.7139432636696387,0.0,0.023584119016990535,MAE2,
reaction,E25a,3,0.7139432636696387,0.0,0.023584119016990535,PCK1,
reaction,E25b,3,0.7139432636696387,0.0,0.023584119016990535,PCK2,
reaction,E26a,3,0.7139432636696387,0.0,0.023584119016990535,FBP1,
reaction,E26b,3,0.7139432636696387,0.0,0.023584119016990535,FBP2,
reaction,E27a,3,0.7139432636696387,0.0,0.023584119016990535,GLY3,
reaction,E27b,3,0.7139432636696387,0.0,0.023584119016990535,GLY4,
reaction,E28a,3,0.7139432636696387,0.0,0.023584119016990535,PPK3,
reaction,E28b,3,0.7139432636696387,0.0,0.023584119016990535,PPK4,
reaction,E29a,3,0.7139432636696387,0.0,0.023584119016990535,ALDO5,
reaction,E29b,3,0.7139432636696387,0.0,0.023584119016990535,ALDO6,
reaction,E30a,3,0.7139432636696387,0.0,0.023584119016990535,PPS1,
reaction,E30b,3,0.7139432636696387,0.0,0.023584119016990535,PPS2,
