tau,beta,D,L,structure,mdl,sse,nll,bic_penalty,scale,kappa_V_uncalibrated,kappa_V_calibrated,abs_err_calibrated,abs_err_uncalibrated
0.02,1.0,0.1,16,kmeans,-461.6138822569465,75.07110301277362,-474.0430984537909,12.429216196844383,0.20096948608189286,0.3261001480480322,0.06553617916444221,0.25515922989357515,0.005404738990014868
0.02,1.0,0.1,32,uniform,-459.7169709913758,75.64288238310921,-472.14618718822015,12.429216196844383,0.16685130902580256,0.3282937334141302,0.05477623916511548,0.2659191698929019,0.007598324356112851
0.02,1.0,0.1,32,kmeans,-461.6138822569465,75.07110301277362,-474.0430984537909,12.429216196844383,0.20096948608189286,0.3261001480480322,0.06553617916444221,0.25515922989357515,0.005404738990014868
0.02,1.0,0.2,4,uniform,-481.7236292486559,69.2689474225324,-494.1528454455003,12.429216196844383,0.2510264979303491,0.2578585219533009,0.06472932172743316,0.2559660873305842,0.06283688710471647
0.02,1.0,0.2,4,kmeans,-485.41876670339917,68.252643561303,-497.84798290024355,12.429216196844383,0.31005806463825425,0.29399652534717957,0.09115599365951796,0.2295394153984994,0.026698883710837784
0.02,1.0,0.2,8,uniform,-471.3838327805828,72.19392510259411,-483.8130489774272,12.429216196844383,0.20047180198485864,0.32555626253134934,0.06526485059711531,0.255430558460902,0.004860853473331983
0.02,1.0,0.2,8,kmeans,-473.8783111588484,71.47716220749402,-486.3075273556928,12.429216196844383,0.2429360337367358,0.32123077148711227,0.07803852953927078,0.2426568795187466,0.0005353624290949099
0.02,1.0,0.2,16,uniform,-471.3838327805828,72.19392510259411,-483.8130489774272,12.429216196844383,0.20047180198485864,0.32555626253134934,0.06526485059711531,0.255430558460902,0.004860853473331983
0.02,1.0,0.2,16,kmeans,-473.8783111588484,71.47716220749402,-486.3075273556928,12.429216196844383,0.2429360337367358,0.32123077148711227,0.07803852953927078,0.2426568795187466,0.0005353624290949099
0.02,1.0,0.2,32,uniform,-471.3838327805828,72.19392510259411,-483.8130489774272,12.429216196844383,0.20047180198485864,0.32555626253134934,0.06526485059711531,0.255430558460902,0.004860853473331983
