tau,beta,D,L,structure,mdl,sse,nll,bic_penalty,scale,kappa_V_uncalibrated,kappa_V_calibrated,abs_err_calibrated,abs_err_uncalibrated
0.02,0.5,0.2,32,uniform,-471.13287989516715,72.26643058268112,-483.56209609201153,12.429216196844383,0.3981308421108494,0.16278356487013157,0.06480915776355156,0.2558862512944658,0.15791184418788579
0.02,0.5,0.2,32,kmeans,-473.67771798623113,71.53453654516466,-486.1069341830755,12.429216196844383,0.48379682604966884,0.1609517175458247,0.0778679300959128,0.24282747896210455,0.15974369151219264
0.02,0.5,0.5,4,uniform,-531.7983266083235,56.69567488819452,-544.2275428051679,12.429216196844383,0.8621727685977865,0.1391118333923563,0.11993843454060184,0.20075697451741553,0.18158357566566105
0.02,0.5,0.5,4,kmeans,-539.7033193776207,54.93100570943186,-552.1325355744651,12.429216196844383,1.0882397462539377,0.12594584245208165,0.13705927163179174,0.18363613742622562,0.1947495666059357
0.02,0.5,0.5,8,uniform,-518.7217165279833,59.740152619558906,-531.1509327248277,12.429216196844383,0.7111827473536603,0.15110113072340814,0.10746051727611797,0.2132348917818994,0.16959427833460922
0.02,0.5,0.5,8,kmeans,-524.0954208385921,58.46975139101843,-536.5246370354365,12.429216196844383,0.8742795458692773,0.14338067535584628,0.12535479173653957,0.19534061732147778,0.17731473370217107
0.02,0.5,0.5,16,uniform,-518.7217165279833,59.740152619558906,-531.1509327248277,12.429216196844383,0.7111827473536603,0.15110113072340814,0.10746051727611797,0.2132348917818994,0.16959427833460922
0.02,0.5,0.5,16,kmeans,-524.0954208385921,58.46975139101843,-536.5246370354365,12.429216196844383,0.8742795458692773,0.14338067535584628,0.12535479173653957,0.19534061732147778,0.17731473370217107
0.02,0.5,0.5,32,uniform,-518.7217165279833,59.740152619558906,-531.1509327248277,12.429216196844383,0.7111827473536603,0.15110113072340814,0.10746051727611797,0.2132348917818994,0.16959427833460922
0.02,0.5,0.5,32,kmeans,-524.0954208385921,58.46975139101843,-536.5246370354365,12.429216196844383,0.8742795458692773,0.14338067535584628,0.12535479173653957,0.19534061732147778,0.17731473370217107
0.02,1.0,0.02,4,uniform,-442.5678041923865,81.01384101953903,-454.9970203892309,12.429216196844383,0.14871884139137923,0.17582841495412221,0.026148998155659714,0.29454641090235767,0.14486699410389514
0.02,1.0,0.02,4,kmeans,-447.27819300091284,79.5017044954568,-459.7074091977572,12.429216196844383,0.21490474918326707,0.2540622153808328,0.05459917667336305,0.2660962323846543,0.06663319367718457
0.02,1.0,0.02,8,uniform,-451.8857345729185,78.0498945057629,-464.3149507697629,12.429216196844383,0.14400107336797643,0.32231428421840097,0.046413602889280765,0.2742818061687366,0.001618875160383615
0.02,1.0,0.02,8,kmeans,-453.50191901643075,77.54694985873898,-465.9311352132751,12.429216196844383,0.17354798939335003,0.32866803097429403,0.057039675953460024,0.2636557331045573,0.007972621916276679
0.02,1.0,0.02,16,uniform,-451.8857345729185,78.0498945057629,-464.3149507697629,12.429216196844383,0.14400107336797643,0.32231428421840097,0.046413602889280765,0.2742818061687366,0.001618875160383615
0.02,1.0,0.02,16,kmeans,-453.50191901643075,77.54694985873898,-465.9311352132751,12.429216196844383,0.17354798939335003,0.32866803097429403,0.057039675953460024,0.2636557331045573,0.007972621916276679
0.02,1.0,0.02,32,uniform,-451.8857345729185,78.0498945057629,-464.3149507697629,12.429216196844383,0.14400107336797643,0.32231428421840097,0.046413602889280765,0.2742818061687366,0.001618875160383615
0.02,1.0,0.02,32,kmeans,-453.50191901643075,77.54694985873898,-465.9311352132751,12.429216196844383,0.17354798939335003,0.32866803097429403,0.057039675953460024,0.2636557331045573,0.007972621916276679
0.02,1.0,0.05,4,uniform,-449.0980368659374,78.92508300709785,-461.52725306278177,12.429216196844383,0.16674822203121795,0.19340256046106663,0.03224953309316799,0.2884458759648494,0.12729284859695073
0.02,1.0,0.05,4,kmeans,-453.48910756751985,77.55092391571024,-465.91832376436423,12.429216196844383,0.23029490310827355,0.2649147901653475,0.061008525933077325,0.25968688312494004,0.05578061889266983
0.02,1.0,0.05,8,uniform,-454.6800285354611,77.1823743539597,-467.10924473230546,12.429216196844383,0.15233785762859617,0.32634964550527357,0.0497154058341252,0.27098000322389215,0.005654236447256211
0.02,1.0,0.05,8,kmeans,-456.3650000363406,76.66392306322737,-468.79421623318495,12.429216196844383,0.1832293273750486,0.3277962483139265,0.060061886094625164,0.2606335229633922,0.007100839255909153
0.02,1.0,0.05,16,uniform,-454.6800285354611,77.1823743539597,-467.10924473230546,12.429216196844383,0.15233785762859617,0.32634964550527357,0.0497154058341252,0.27098000322389215,0.005654236447256211
0.02,1.0,0.05,16,kmeans,-456.3650000363406,76.66392306322737,-468.79421623318495,12.429216196844383,0.1832293273750486,0.3277962483139265,0.060061886094625164,0.2606335229633922,0.007100839255909153
0.02,1.0,0.05,32,uniform,-454.6800285354611,77.1823743539597,-467.10924473230546,12.429216196844383,0.15233785762859617,0.32634964550527357,0.0497154058341252,0.27098000322389215,0.005654236447256211
0.02,1.0,0.05,32,kmeans,-456.3650000363406,76.66392306322737,-468.79421623318495,12.429216196844383,0.1832293273750486,0.3277962483139265,0.060061886094625164,0.2606335229633922,0.007100839255909153
0.02,1.0,0.1,4,uniform,-460.22153899924774,75.49036842830907,-472.6507551960921,12.429216196844383,0.1958323209958794,0.2194755073379679,0.04298039800374241,0.27771501105427493,0.10121990172004947
0.02,1.0,0.1,4,kmeans,-464.1906486071184,74.30131419108152,-476.6198648039628,12.429216196844383,0.25593216958255127,0.27976814692602536,0.07160166882286764,0.2490937402351497,0.04092726213199199
0.02,1.0,0.1,8,uniform,-459.7169709913758,75.64288238310921,-472.14618718822015,12.429216196844383,0.16685130902580256,0.3282937334141302,0.05477623916511548,0.2659191698929019,0.007598324356112851
0.02,1.0,0.1,8,kmeans,-461.6138822569465,75.07110301277362,-474.0430984537909,12.429216196844383,0.20096948608189286,0.3261001480480322,0.06553617916444221,0.25515922989357515,0.005404738990014868
0.02,1.0,0.1,16,uniform,-459.7169709913758,75.64288238310921,-472.14618718822015,12.429216196844383,0.16685130902580256,0.3282937334141302,0.05477623916511548,0.2659191698929019,0.007598324356112851
