dimension,profile,starting_set,lambda,n_iter,final_distance,fitted_q,r2,valid_fit,verdict
3,k=1 expansion  (f2),random 27,0.9,40,3.793852e-04,0.902512,1.000000,True,"CONFIRMED (q=0.9025, R^2=1.0000)"
3,k=1 expansion  (f2),corners 8,0.0,40,0.000000e+00,0.745658,0.358287,True,STRONG-CONVERGED (machine precision; q<1)
3,k=1 expansion  (f2),corners 8,0.3,40,0.000000e+00,0.397851,0.953369,True,STRONG-CONVERGED (machine precision; q<1)
3,k=1 expansion  (f2),corners 8,0.5,40,2.238849e-12,0.521874,0.999993,True,STRONG-CONVERGED (machine precision; q<1)
3,k=1 expansion  (f2),corners 8,0.7,40,2.639889e-07,0.711743,0.999999,True,"CONFIRMED (q=0.7117, R^2=1.0000)"
3,k=1 expansion  (f2),corners 8,0.9,40,1.007435e-03,0.903734,1.000000,True,"CONFIRMED (q=0.9037, R^2=1.0000)"
3,"k=3 expansions (f2,f4,f6)",grid 27,0.0,40,0.000000e+00,0.476520,0.765984,True,STRONG-CONVERGED (machine precision; q<1)
3,"k=3 expansions (f2,f4,f6)",grid 27,0.3,40,1.054712e-15,0.443627,0.999996,True,STRONG-CONVERGED (machine precision; q<1)
3,"k=3 expansions (f2,f4,f6)",grid 27,0.5,40,8.409837e-12,0.557876,0.996889,True,STRONG-CONVERGED (machine precision; q<1)
3,"k=3 expansions (f2,f4,f6)",grid 27,0.7,40,1.794559e-07,0.721361,0.999433,True,"CONFIRMED (q=0.7214, R^2=0.9994)"
3,"k=3 expansions (f2,f4,f6)",grid 27,0.9,40,4.338345e-04,0.904425,0.999988,True,"CONFIRMED (q=0.9044, R^2=1.0000)"
3,"k=3 expansions (f2,f4,f6)",random 27,0.0,40,0.000000e+00,0.473619,0.768674,True,STRONG-CONVERGED (machine precision; q<1)
3,"k=3 expansions (f2,f4,f6)",random 27,0.3,40,0.000000e+00,0.420045,0.925709,True,STRONG-CONVERGED (machine precision; q<1)
3,"k=3 expansions (f2,f4,f6)",random 27,0.5,40,3.058475e-12,0.539678,0.997562,True,STRONG-CONVERGED (machine precision; q<1)
3,"k=3 expansions (f2,f4,f6)",random 27,0.7,40,1.002292e-07,0.711384,0.999892,True,"CONFIRMED (q=0.7114, R^2=0.9999)"
3,"k=3 expansions (f2,f4,f6)",random 27,0.9,40,3.666402e-04,0.902603,0.999999,True,"CONFIRMED (q=0.9026, R^2=1.0000)"
