bnum,gene_name_keio,COG_id,keio_call,PEC,MG_Tn5,y_essential_in_silico_iML1515,b_wt,b_ko,delta_b,kV,log10_kV
b2293,yfbT,COG0637,N,,,0,0.9259332133632957,0.9259332133632693,2.6423307986078726e-14,7521.10072472882,3.876281404912555
b3951,pflD,COG1882,N,,,0,0.9259332133632957,0.925933213363256,3.9745984281580604e-14,7508.545727839121,3.8755558300089805
b0902,pflA,COG1180,N,,,0,0.9259332133632957,0.925933213363256,3.9745984281580604e-14,7508.545727839121,3.8755558300089805
b0903,pflB,COG1882,N,,,0,0.9259332133632957,0.925933213363256,3.9745984281580604e-14,7508.545727839121,3.8755558300089805
b2579,yfiD,COG3445,N,,,0,0.9259332133632957,0.925933213363256,3.9745984281580604e-14,7508.545727839121,3.8755558300089805
b4154,frdA,COG1053,N,,,0,0.9259332133632957,0.925933213363256,3.9745984281580604e-14,7508.545727839121,3.8755558300089805
b4151,frdD,COG3080,N,,,0,0.9259332133632957,0.925933213363256,3.9745984281580604e-14,7508.545727839121,3.8755558300089805
b4153,frdB,COG0479,N,,,0,0.9259332133632957,0.925933213363256,3.9745984281580604e-14,7508.545727839121,3.8755558300089805
b4152,frdC,COG3029,N,,,0,0.9259332133632957,0.925933213363256,3.9745984281580604e-14,7508.545727839121,3.8755558300089805
b0871,poxB,COG0028,N,,,0,0.9259332133632957,0.925933213363256,3.9745984281580604e-14,7508.545727839121,3.8755558300089805
b2458,eutI,COG0280,N,,,0,0.9259332133632957,0.9259332133632613,3.441691376337985e-14,7696.063288953757,3.8862686304864047
b2297,pta,COG0280,N,,,0,0.9259332133632957,0.9259332133632402,5.551115123125783e-14,7696.063288953475,3.886268630486389
b3115,tdcD,COG0282,N,,,0,0.9259332133632957,0.9259332133632402,5.551115123125783e-14,7696.063288953475,3.886268630486389
b2296,ackA,COG0282,N,,,0,0.9259332133632957,0.9259332133632402,5.551115123125783e-14,7696.063288953475,3.886268630486389
b1849,purT,COG0027,N,,,0,0.9259332133632957,0.9259332133632399,5.5844218138645374e-14,7695.781052267768,3.8862527033716794
b3633,kdtA,COG1519,E,E,u,1,0.9259332133632957,-1.4680400859420777e-16,0.9259332133632958,11215.771854119022,4.0498291665012465
b0174,ispU,COG0020,E,E,u,1,0.9259332133632957,0.0,0.9259332133632957,11215.77185411909,4.049829166501249
b0524,lpxH,COG2908,E,E,u,1,0.9259332133632957,0.0,0.9259332133632957,11215.771854119015,4.0498291665012465
b0182,lpxB,COG0763,E,E,u,1,0.9259332133632957,0.0,0.9259332133632957,11215.771854119068,4.049829166501248
b0915,lpxK,COG1663,E,u,u,1,0.9259332133632957,0.0,0.9259332133632957,11215.771854119084,4.049829166501249
