uniprot,gene_name,medianRatio_50 mM NaCl_vs_glucose,medianRatio_pH 6_vs_glucose,medianRatio_42°C_vs_glucose,medianRatio_anaerobic_vs_glucose,medianRatio_stationary 1 day_vs_glucose,medianRatio_stationary 3 days_vs_glucose,medianRatio_chemostat µ=0.12_vs_glucose,medianRatio_chemostat µ=0.5_vs_glucose,medianRatio_galactose_vs_glucose,medianRatio_acetate_vs_glucose,medianRatio_glycerol_vs_glucose,medianRatio_LB_vs_glucose,medianRatio_glucosamine_vs_glucose,medianRatio_fumarate_vs_glucose,medianRatio_succinate_vs_glucose,medianRatio_pyruvate_vs_glucose,medianRatio_chemostat µ=0.20_vs_glucose,medianRatio_chemostat µ=0.35_vs_glucose
P0AF63,nsrR,0.042378141,0.057871793,0.10469827,0.063448774,0.199301533,0.055655811,0.057495057,0.042443357,0.045900183,0.045956802,0.037211944,0.074291116,0.031789025,0.041727763,0.032971582,0.016987862,0.064643971,0.019100315
P0A7U7,rpsT,0.990478201,0.868344532,0.861603032,0.897176265,2.177203853,2.151683414,0.526914773,0.465954916,0.444157368,0.415867301,0.810997133,0.936000329,0.665922053,0.599807634,0.652800385,0.442182949,0.459116404,0.802290287
P0AD07,yecF,1.079366688,1.169827636,0.93631301,2.575282068,4.167858734,3.308141744,0.548398961,1.54798965,0.577947727,1.043998385,2.05239177,5.071922083,0.968662366,0.939898616,0.914696459,1.229701291,0.850060951,1.259480747
P0A8R4,slyX,1.108246295,1.114946907,1.117533564,1.533267841,2.322608916,2.387581898,1.122469094,1.156291649,0.79262683,1.049797659,1.405413416,1.119569377,1.021313957,1.06170571,1.325434845,1.33189457,0.793682715,1.206656466
P0AFW8,rof,1.011324267,1.196898032,1.086995235,2.056803843,2.870853431,3.236337737,0.954254735,1.278134164,1.083101941,1.28856324,1.070663467,1.831865751,1.135840982,0.868392884,0.790900964,1.132129784,1.790978262,1.551730405
P0AF70,yjeI,0.697159216,0.556462948,1.187381113,0.798106803,0.683405015,0.261791802,1.642323483,1.124403969,0.703396156,0.895855241,0.688275561,0.248553011,0.625405994,0.366200905,0.716790178,1.046301966,0.974689204,1.325853846
P08245,yciH,1.190501879,1.040091915,1.224434491,1.258579179,0.637344148,0.801413729,0.91057321,0.923355424,0.560395015,0.665292072,0.915993985,0.622934792,1.148210261,0.979794173,0.943465826,0.825999538,0.710351378,1.069814515
P0AB18,tusE,0.904153126,0.884686139,0.896854086,1.003150671,0.608476024,0.747099725,0.85285676,1.177579872,0.932907341,0.985518108,1.163661333,1.186110543,1.350679468,1.198417795,1.156572711,1.088300705,1.216400748,1.294752164
P0ADW8,yheV,2.058684712,1.666392216,0.806853843,1.680224965,0.47476258,0.044332221,0.933750424,0.698377679,0.898695281,0.680403914,0.578431587,0.401639845,0.743736172,0.97453502,0.580746686,0.043445954,0.095793286,0.146974632
P0A7R9,rpsK,1.384480729,1.024239646,1.073956934,1.3167058,3.038355903,4.36061716,0.792766658,0.807799326,0.68529005,0.629318994,0.828004385,1.872786861,1.137266184,0.755784361,0.564436831,0.57657616,1.132256933,1.014963592
P76346,mtfA,0.954801839,0.926404353,1.074239954,1.147619497,0.062822419,0.092409816,3.459114075,2.466222324,2.488808788,2.136766994,2.341658715,1.676111662,1.518821356,3.156314415,2.84630265,2.541787231,4.57156661,4.100658507
P16691,phnO,1.189433701,1.18868293,1.128566711,1.069375715,0.093021579,0.330623703,0.56114474,0.971164222,1.07191357,1.209280704,1.161590422,0.776183907,0.761920034,0.749414308,0.705600425,0.679379585,0.538981031,0.509569336
P45795,yrdB,0.909185643,1.167050689,1.027631526,1.342509105,1.604459598,1.418307435,0.912262452,1.159290901,1.025626839,1.257756816,0.860996918,1.503477728,1.050749522,0.833999514,0.946397013,0.942074528,1.150148613,1.410899281
P0AA57,yobA,1.61670613,1.528446551,1.140673983,2.358156717,8.526413296,6.736085693,1.601398547,1.492547567,0.773937539,1.395332634,0.87055602,1.429004959,1.569555245,0.987579021,0.961550661,1.101983186,0.905755015,1.108265874
P0AB40,bhsA,1.831431069,2.340949979,1.413484024,3.809803861,59.23270047,16.57543816,0.158446153,1.298867184,0.216831449,0.900695633,0.347272231,2.704446489,0.634343222,1.124023116,0.676887354,0.170502023,0.18089834,0.006065075
P0A9T6,ybaQ,1.074339905,0.859014001,0.826544429,1.380520206,11.42797987,2.233708837,0.98746488,0.631243971,0.855801261,0.71284853,0.589884482,0.709157903,1.295435665,0.594294577,0.59370926,1.021268206,0.989749766,1.255979632
P0AAQ2,yajD,0.788114719,0.899215918,1.110591332,2.027783921,0.029006109,0.048916106,2.14345577,2.788401366,1.213849162,1.885216017,2.264127321,0.522309241,1.356934874,1.382297464,1.593388883,1.558571235,2.900124389,4.237876388
P64616,yhcO,1.1282442,1.088902977,1.065494362,1.231326554,16.89199904,19.16467297,1.991616639,0.560071524,1.339124863,0.986653496,0.749005316,0.840152099,1.97926235,0.697384797,0.440544485,0.555087463,1.970920374,1.058544661
P0ACY9,yebG,1.029478238,0.950605559,1.070304315,1.887181005,0.230461638,0.189935673,0.178657981,1.085665719,0.458463922,0.357674686,0.797434866,2.768103637,1.15345203,0.503620205,0.768919911,0.956075286,0.408528011,0.998827539
Q46822,idi,0.256456024,1.104820113,0.545644738,1.214290279,0.644166917,1.998569639,3.332536432,0.846805232,2.285286617,1.138117798,0.401719657,0.648380353,0.736891455,0.626941006,0.527369093,0.267223806,0.74861448,1.838147742
P65292,ygdI,1.07608148,1.179203023,1.46246256,0.792353046,2.18983652,1.360223649,5.062939143,0.977842406,1.071308129,1.616755378,1.213851638,0.522389484,0.623336968,0.608627549,0.695702353,0.873982874,1.549422799,2.003240841
P0A8C1,ybjQ,0.404014593,0.456512604,0.384027754,0.655044259,0.650108172,1.091396441,1.914704276,0.528694927,0.93793042,1.362738748,0.363895438,0.397904712,0.496458322,0.532643875,0.534321175,0.99094852,3.373111011,1.733690631
P0A890,tusA,1.016442096,1.005706076,0.8623289,1.758771457,3.360760281,2.622968672,1.326386689,1.000108675,0.829850916,0.772972585,0.851168607,1.1466621,0.931203512,1.05126612,0.952799655,0.829713051,1.149537957,0.980126516
P26281,folK,1.019040873,1.287077113,1.193608883,1.891482836,1.503075532,1.50209561,1.539104403,2.053721745,1.347615113,1.128006229,1.169170503,1.322367251,1.441396172,1.432708827,1.211336657,1.733858364,2.323071264,2.398060292
P0AE85,cpxP,1.016773679,0.116145906,1.323112794,1.159214875,0.068281134,0.10324431,2.159203828,0.635591727,1.814767804,3.061137305,1.686229991,0.396468203,0.929902777,1.562747071,2.145160094,1.311770125,1.336057775,0.952887528
P0A8Z3,ybgC,0.633524224,0.935053182,0.948244969,0.902504156,0.166670875,0.332788532,0.332666491,0.526438093,0.630405899,0.40057009,0.678541426,0.866567339,0.840699429,0.868731178,0.665745207,0.460324623,0.454062097,0.748323484
P77756,queC,0.892859519,1.181133558,1.127405678,0.334878455,0.01386923,0.029387985,0.119382062,0.318486275,0.345979905,0.26149287,0.702408604,2.17004701,0.657985102,0.693751561,0.492231553,0.375538611,0.212221763,0.23234278
P0A8Z7,yqiA,2.465593753,1.031731708,0.724269135,0.146272451,0.776328667,1.216626843,1.255993755,0.643623507,0.898306833,0.933116991,0.693352969,1.500343494,0.748313738,0.504591353,0.637619561,1.403461717,0.744702426,0.110279501
P52096,yaeR,1.042617672,1.343612132,0.891578084,1.099384031,1.32526564,1.943601031,1.55001452,1.130175086,1.870181859,1.388409281,1.257742052,0.728782125,0.888716864,1.061310434,0.91951244,1.027871856,1.386910994,0.90685564
P0AEX5,prkB,0.888262287,1.0217659,1.09472655,0.26702011,0.020918326,0.156634346,0.366905627,0.683685241,1.73398868,1.088702639,1.667203957,0.183412842,0.838758758,1.340962405,0.901825969,1.485044369,0.54120954,0.67186736
