#id: 3740039012
#name: E.coli str. K-12 substr. MG1655 - Whole organism (Integrated)
#score: 23.3
#coverage: 91
#description: integrated dataset: weighted average of all E.coli str. K-12 substr. MG1655 WHOLE_ORGANISM: 23.3; Coverage: 91
#organ: WHOLE_ORGANISM
#integrated: true
#weights: Escherichia_coli_SC_biomart_29780_E_BTO0000214cellculture_2reps:0.227;Ecoli_iBAQ_arike_2012:0.136;Escherichia_coli_SC_biomart_17112_E__2reps:0.079;Escherichia_coli_SC_biomart_18119_E__5reps:0.056;PXD014877_Mueller_Nature_2020_Escherichia_coli:0.054;Ecoli_Krug_2013:0.051;PXD020761_Midha_Sci_Data_2020_Ecoli_DIA-SWATH:0.05;ecoli1_HCD_CID_PRIDE:0.047;Ecoli_emPAI_arike_2012:0.046;ecoli2_resolutionCombination_PRIDE:0.045;Escherichia_coli_SC_biomart_12189_E__2reps:0.044;WT-lewis-peptide_count:0.04;Ecoli_APEX_arike_2012:0.038;Ecoli_Krug_2013_emPAI:0.029;511145_GPM_201408:0.02;Taniguchi_2010_Table_S6:0.014;Lu_ecoli_2007:0.013;E_coli_Wisniewski_2014_cpc:0.007;Ecoli_strainK12_PRIDE:0.004;
#publication_year: 2026
#filename: 511145-WHOLE_ORGANISM-integrated.txt
#
#gene_name	string_external_id	abundance
yhbS	511145.b3156	414
yfgM	511145.b2513	413
ilvB	511145.b3671	410
valS	511145.b4258	410
prlC	511145.b3498	408
bamC	511145.b2477	408
yibN	511145.b3611	407
lpxA	511145.b0181	406
yciF	511145.b1258	405
lysU	511145.b4129	404
zinT	511145.b1973	403
msrA	511145.b4219	403
pepQ	511145.b3847	402
yqiC	511145.b3042	401
cydB	511145.b0734	401
yqiA	511145.b3031	400
ppiD	511145.b0441	399
tar	511145.b1886	398
yciN	511145.b1273	397
yebF	511145.b1847	395
ghrB	511145.b3553	394
ysgA	511145.b3830	390
gpr	511145.b3001	390
pheA	511145.b2599	388
cysQ	511145.b4214	386
apt	511145.b0469	385
yceH	511145.b1067	385
hflK	511145.b4174	384
cheZ	511145.b1881	384
mtlD	511145.b3600	382
gltD	511145.b3213	380
ytfJ	511145.b4216	380
yajD	511145.b0410	379
yeiP	511145.b2171	378
cysI	511145.b2763	377
frdA	511145.b4154	375
codA	511145.b0337	372
manA	511145.b1613	371
entB	511145.b0595	369
rodZ	511145.b2516	368
maeA	511145.b1479	367
ybgI	511145.b0710	367
dhaK	511145.b1200	365
pepP	511145.b2908	365
glnB	511145.b2553	364
dacC	511145.b0839	364
glnQ	511145.b0809	363
yhfG	511145.b3362	362
spy	511145.b1743	362
pepN	511145.b0932	361
ydcY	511145.b1446	361
bamE	511145.b2617	360
fbp	511145.b4232	359
nuoC	511145.b2286	358
ppiC	511145.b3775	357
argD	511145.b3359	353
tolC	511145.b3035	351
treA	511145.b1197	350
nrdA	511145.b2234	347
gltB	511145.b3212	347
yfiF	511145.b2581	347
purD	511145.b4005	346
narL	511145.b1221	345
map	511145.b0168	344
dcyD	511145.b1919	344
yiaF	511145.b3554	343
rsd	511145.b3995	342
ydhF	511145.b1647	341
nusB	511145.b0416	340
glf	511145.b2036	340
