g1,g2,n1,n2,kappa_i,kappa_j,kappa_ij,eps_add,rho,eps_growth,growth_i,growth_j,growth_ij,J_support,J_dR,SL,panel,kappaV_i,kappaV_j,kappaV_ij,eps_masked,n_dis_ij,shared_subsystems
b0126,b3626,|can|,waaJ,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.87699721442697,0.87699721442697,0.87699721442697,0.0,0.0,False,B,0.0,0.0,0.0,0.0,1,
b0126,b2871,|can|,ygeX,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.87699721442697,0.87699721442697,0.87699721442697,0.0,0.0,False,B,0.0,0.0,0.0,0.0,1,
b0126,b3915,|can|,fieF,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.87699721442697,0.8769972144269703,0.8769972144269703,0.0,0.0,False,B,0.0,0.0,0.0,0.0,2,
b0126,b1857,|can|,znuA,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.87699721442697,0.8769972144269703,0.8769972144269703,0.0,0.0,False,B,0.0,0.0,0.0,0.0,1,
b0126,b0696,|can|,kdpC,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.87699721442697,0.8769972144269703,0.8769972144269703,0.0,0.0,False,B,0.0,0.0,0.0,0.0,1,
b0126,b1186,|can|,nhaB,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.87699721442697,0.8769972144269705,0.8769972144269705,0.0,0.0,False,B,0.0,0.0,0.0,0.0,1,
b0126,b3371,|can|,frlB,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.87699721442697,0.87699721442697,0.87699721442697,0.0,0.0,False,B,0.0,0.0,0.0,0.0,1,
b0126,b3748,|can|,rbsD,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.87699721442697,0.87699721442697,0.87699721442697,0.0,0.0,False,B,0.0,0.0,0.0,0.0,0,
b0126,b2482,|can|,hyfB,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.87699721442697,0.87699721442697,0.87699721442697,0.0,0.0,False,B,0.0,0.0,0.0,0.0,0,
b0126,b1640,|can|,anmK,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.87699721442697,0.87699721442697,0.87699721442697,0.0,0.0,False,B,0.0,0.0,0.0,0.0,1,
b0126,b3630,|can|,waaP,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.87699721442697,0.87699721442697,0.87699721442697,0.0,0.0,False,B,0.0,0.0,0.0,0.0,1,
b0126,b4394,|can|,yjjX,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.87699721442697,0.87699721442697,0.87699721442697,0.0,0.0,False,B,0.0,0.0,0.0,0.0,2,
