g1,g2,n1,n2,chi,kappa_moma_i,kappa_moma_j,kappa_moma_ij_ifirst,kappa_moma_ij_jfirst,kappa_path_asymmetry,h_loop_ifirst,h_loop_jfirst,h_loop_asym,eps_add,kappa_i,kappa_j,kappa_ij,SL,panel
b1761,b3212,gdhA,gltB,6.337357125619364e-13,5.195449018867153e-29,6.572318991903518e-29,1839.210537700044,1839.2105377000426,1.3642420526593924e-12,209.68988555504652,209.68988555504677,1.1434323811138764e-12,18414.90254234401,0.0,0.0,18414.90254234401,True,ISO
b0073,b1800,leuB,dmlA,0.0,5.195449018867153e-29,5.195449018867153e-29,1722.2121153060061,1722.2121153060061,0.0,109.3132234315152,109.3132234315152,0.0,18414.902542344007,0.0,0.0,18414.902542344007,True,ISO
b0684,b2895,fldA,fldB,0.0,5.195449018867153e-29,5.195449018867153e-29,1719.5913626342162,1719.5913626342162,0.0,105.57447796433406,105.57447796433406,0.0,18414.902542344007,0.0,0.0,18414.902542344007,True,ISO
b0844,b3812,ybjI,yigB,0.0,5.195449018867153e-29,5.195449018867153e-29,3480.237551768196,3480.237551768196,0.0,107.81443847881906,107.81443847881906,0.0,18414.902542344003,0.0,0.0,18414.902542344003,True,ISO
b0099,b1865,mutT,nudB,0.0,5.195449018867153e-29,5.195449018867153e-29,1712.4587588500842,1712.4587588500842,0.0,105.49432785901703,105.49432785901703,0.0,18414.902542344003,0.0,0.0,18414.902542344003,True,ISO
b2414,b2421,cysK,cysM,0.0,5.195449018867153e-29,5.195449018867153e-29,3197.4872932192766,3197.4872932192766,0.0,107.83355043556563,107.83355043556563,0.0,18414.902542344003,0.0,0.0,18414.902542344003,True,ISO
b0002,b3940,thrA,metL,0.0,5.195449018867153e-29,5.195449018867153e-29,1567.3158843123804,1567.3158843123804,0.0,109.36326553769422,109.36326553769422,0.0,18414.902542344003,0.0,0.0,18414.902542344003,True,ISO
b0149,b3396,mrcB,mrcA,0.0,5.195449018867153e-29,5.195449018867153e-29,1707.9578449277508,1707.9578449277508,0.0,105.50651285829812,105.50651285829812,0.0,18414.902542344003,0.0,0.0,18414.902542344003,True,ISO
b2708,b3197,gutQ,kdsD,0.0,5.195449018867153e-29,5.195449018867153e-29,3208.072871385331,3208.072871385331,0.0,117.16276673179708,117.16276673179708,0.0,18414.902542343996,0.0,0.0,18414.902542343996,True,ISO
b0078,b3671,ilvH,ilvB,0.0,5.195449018867153e-29,5.195449018867153e-29,2904.001379352048,2904.001379352048,0.0,115.25725865740169,115.25725865740169,0.0,18414.902542343993,0.0,0.0,18414.902542343993,True,ISO
b0078,b3670,ilvH,ilvN,0.0,5.195449018867153e-29,5.195449018867153e-29,2904.001379352048,2904.001379352048,0.0,115.25725865740169,115.25725865740169,0.0,18414.902542343993,0.0,0.0,18414.902542343993,True,ISO
b0077,b3671,ilvI,ilvB,0.0,5.195449018867153e-29,5.195449018867153e-29,2904.001379352048,2904.001379352048,0.0,115.25725865740169,115.25725865740169,0.0,18414.902542343993,0.0,0.0,18414.902542343993,True,ISO
b0077,b3670,ilvI,ilvN,0.0,5.195449018867153e-29,5.195449018867153e-29,2904.001379352048,2904.001379352048,0.0,115.25725865740169,115.25725865740169,0.0,18414.902542343993,0.0,0.0,18414.902542343993,True,ISO
b2465,b2935,tktB,tktA,0.0,5.195449018867153e-29,5.195449018867153e-29,2836.456422999757,2836.456422999757,0.0,117.5610516445739,117.5610516445739,0.0,18414.902542343993,0.0,0.0,18414.902542343993,True,ISO
b2935,b2465,tktA,tktB,0.0,5.195449018867153e-29,5.195449018867153e-29,2836.456422999757,2836.456422999757,0.0,117.5610516445739,117.5610516445739,0.0,18414.902542343993,0.0,0.0,18414.902542343993,True,ISO+TGT
b0764,b2423,modB,cysW,0.0,5.195449018867153e-29,5.195449018867153e-29,1712.1437028912685,1712.1437028912685,0.0,105.53514628454656,105.53514628454656,0.0,18414.902542343993,0.0,0.0,18414.902542343993,True,ISO
b0764,b2422,modB,cysA,0.0,5.195449018867153e-29,5.195449018867153e-29,1712.1437028912685,1712.1437028912685,0.0,105.53514628454656,105.53514628454656,0.0,18414.902542343993,0.0,0.0,18414.902542343993,True,ISO
b0764,b2424,modB,cysU,0.0,5.195449018867153e-29,5.195449018867153e-29,1712.1437028912685,1712.1437028912685,0.0,105.53514628454656,105.53514628454656,0.0,18414.902542343993,0.0,0.0,18414.902542343993,True,ISO
b0765,b2423,modC,cysW,0.0,5.195449018867153e-29,5.195449018867153e-29,1712.1437028912685,1712.1437028912685,0.0,105.53514628454656,105.53514628454656,0.0,18414.902542343993,0.0,0.0,18414.902542343993,True,ISO
b0765,b2422,modC,cysA,0.0,5.195449018867153e-29,5.195449018867153e-29,1712.1437028912685,1712.1437028912685,0.0,105.53514628454656,105.53514628454656,0.0,18414.902542343993,0.0,0.0,18414.902542343993,True,ISO
b0765,b2424,modC,cysU,0.0,5.195449018867153e-29,5.195449018867153e-29,1712.1437028912685,1712.1437028912685,0.0,105.53514628454656,105.53514628454656,0.0,18414.902542343993,0.0,0.0,18414.902542343993,True,ISO
b0763,b2423,modA,cysW,0.0,5.195449018867153e-29,5.195449018867153e-29,1712.1437028912685,1712.1437028912685,0.0,105.53514628454656,105.53514628454656,0.0,18414.902542343993,0.0,0.0,18414.902542343993,True,ISO
b0763,b2422,modA,cysA,0.0,5.195449018867153e-29,5.195449018867153e-29,1712.1437028912685,1712.1437028912685,0.0,105.53514628454656,105.53514628454656,0.0,18414.902542343993,0.0,0.0,18414.902542343993,True,ISO
b0763,b2424,modA,cysU,0.0,5.195449018867153e-29,5.195449018867153e-29,1712.1437028912685,1712.1437028912685,0.0,105.53514628454656,105.53514628454656,0.0,18414.902542343993,0.0,0.0,18414.902542343993,True,ISO
b0171,b0910,pyrH,cmk,119.42376506555885,5.195449018867153e-29,0.22496136739493158,1623.7697356228173,1591.588887405812,32.18084821700518,121.01111329909719,121.53043779283587,119.42376506555925,18414.44416256957,0.0,0.45837977444987826,18414.902542344018,True,ISO
b0722,b2283,sdhD,nuoG,101.28580689036127,596.1252493757021,3723.284124901975,4457.314257366219,4409.743367872508,47.57088949371064,294.7488844891265,277.50572552423955,101.28580689036143,9792.82985718344,3719.237820017231,3294.285861140926,16806.3535383416,False,A
b0722,b2282,sdhD,nuoH,101.28580689036127,596.1252493757021,3723.284124901975,4457.314257366219,4409.743367872508,47.57088949371064,294.7488844891265,277.50572552423955,101.28580689036143,9792.82985718344,3719.237820017231,3294.285861140926,16806.3535383416,False,A
b0722,b2281,sdhD,nuoI,101.28580689036127,596.1252493757021,3723.284124901975,4457.314257366219,4409.743367872508,47.57088949371064,294.7488844891265,277.50572552423955,101.28580689036143,9792.82985718344,3719.237820017231,3294.285861140926,16806.3535383416,False,A
b0722,b2288,sdhD,nuoA,101.28580689036127,596.1252493757021,3723.284124901975,4457.314257366219,4409.743367872508,47.57088949371064,294.7488844891265,277.50572552423955,101.28580689036143,9792.82985718344,3719.237820017231,3294.285861140926,16806.3535383416,False,A
b0722,b2276,sdhD,nuoN,101.28580689036127,596.1252493757021,3723.284124901975,4457.314257366219,4409.743367872508,47.57088949371064,294.7488844891265,277.50572552423955,101.28580689036143,9792.82985718344,3719.237820017231,3294.285861140926,16806.3535383416,False,A
b0722,b2277,sdhD,nuoM,101.28580689036127,596.1252493757021,3723.284124901975,4457.314257366219,4409.743367872508,47.57088949371064,294.7488844891265,277.50572552423955,101.28580689036143,9792.82985718344,3719.237820017231,3294.285861140926,16806.3535383416,False,A
b0722,b2285,sdhD,nuoE,101.28580689036127,596.1252493757021,3723.284124901975,4457.314257366219,4409.743367872508,47.57088949371064,294.7488844891265,277.50572552423955,101.28580689036143,9792.82985718344,3719.237820017231,3294.285861140926,16806.3535383416,False,A
b0722,b2284,sdhD,nuoF,101.28580689036127,596.1252493757021,3723.284124901975,4457.314257366219,4409.743367872508,47.57088949371064,294.7488844891265,277.50572552423955,101.28580689036143,9792.82985718344,3719.237820017231,3294.285861140926,16806.3535383416,False,A
b0722,b2278,sdhD,nuoL,101.28580689036127,596.1252493757021,3723.284124901975,4457.314257366219,4409.743367872508,47.57088949371064,294.7488844891265,277.50572552423955,101.28580689036143,9792.82985718344,3719.237820017231,3294.285861140926,16806.3535383416,False,A
b0722,b2279,sdhD,nuoK,101.28580689036127,596.1252493757021,3723.284124901975,4457.314257366219,4409.743367872508,47.57088949371064,294.7488844891265,277.50572552423955,101.28580689036143,9792.82985718344,3719.237820017231,3294.285861140926,16806.3535383416,False,A
b0722,b2280,sdhD,nuoJ,101.28580689036127,596.1252493757021,3723.284124901975,4457.314257366219,4409.743367872508,47.57088949371064,294.7488844891265,277.50572552423955,101.28580689036143,9792.82985718344,3719.237820017231,3294.285861140926,16806.3535383416,False,A
b0722,b2287,sdhD,nuoB,101.28580689036127,596.1252493757021,3723.284124901975,4457.314257366219,4409.743367872508,47.57088949371064,294.7488844891265,277.50572552423955,101.28580689036143,9792.82985718344,3719.237820017231,3294.285861140926,16806.3535383416,False,A
b0855,b1443,potG,ydcV,0.0,5.195449018867153e-29,5.195449018867153e-29,5.195449018867153e-29,5.195449018867153e-29,0.0,2.863199319461465e-14,2.863199319461465e-14,0.0,0.0,0.0,0.0,0.0,False,ISO
b2690,b3715,yqaB,yieH,1.2887214298077575e-10,3.6050401400831916e-28,5.195449018867153e-29,2.720928284484205e-22,4.7088957662967646e-21,4.436802937848344e-21,2.2382649390601667e-12,1.6903446610365526e-10,1.696011523144158e-10,0.0,0.0,0.0,0.0,False,ISO
b2328,b3182,mepA,dacB,1.4135638189485822e-14,2.5439861277120914e-23,5.195449018867153e-29,2.5439861277120914e-23,2.5457525319777866e-23,1.7664042656951855e-26,7.678567964078306e-13,1.2881464048727275e-11,1.3341501878675588e-11,0.0,0.0,0.0,0.0,False,ISO
b0675,b0766,umpH,ybhA,1.0176538431383442e-14,5.195449018867153e-29,7.549247726011088e-27,7.483890728029564e-27,7.549247726011088e-27,6.535699798152405e-29,5.602638563943562e-13,8.093020321196229e-13,5.324259637875725e-13,0.0,0.0,0.0,0.0,False,ISO
